公司代號,公司名稱,收入,費用,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位稅後淨利(淨損),停業單位損益,列計非常損益及會計原則變動累積影響數前損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股盈餘
"2855","統一證券",4770917,4852408,-81491,183119,-264610,0,-264610,0,0,-264610,-266706,2096,-0.22
"2856","元富證券",11049452,11318317,-268865,156983,-425848,0,-425848,0,0,-425848,0,0,-0.31
"6005","群益證",5393246,6792493,-1399247,427654,-1826901,0,-1826901,0,0,-1826901,0,46595,-1.15
"6012","金鼎證券",4180927,5090237,-909310,203450,-1112760,0,-1112760,0,0,-1112760,-1111195,-1565,-1.03
