公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"9102","東亞科",11843886,10439389,1404497,1231772,172725,149393,306694,15424,85665,-70241,-141579,0,0,-211820,-173340,-38480,-0.38,22.85,資產負債表日台銀新加坡收盤價買賣平均匯率
"9103","美德醫",2652032,2294219,357813,299355,58458,97758,97396,58820,25368,33452,0,0,0,33452,32105,1347,0.07,US$1:NT$32.86,以97年12月31日之匯率換算
"910322","康師傅",140123338,95909889,44213449,30170228,14043221,2959840,2170212,14832849,2958068,11874781,0,0,0,11874781,8541251,3333530,1.53,US$1:NT$32.80,臺灣銀行97年12月31日即期匯率
"9104","萬宇科",13278012,11002278,2275734,1627396,648338,96479,228729,516088,175284,340804,1769,0,0,339035,314960,24075,2.86,3.8700,OANDA萬達亞太私人有限公司提供之匯率報價
"910482","聖馬丁",5830976,4800462,1030514,876442,154072,54940,77745,131267,3066,128201,0,0,0,128201,134726,-6525,0.25,HKD$1:NT$4.234,財報資料
"9105","泰金寶",114655433,110625859,4029574,1543588,2485986,487224,811686,2161524,136193,2025331,0,0,0,2025331,2025331,0,0.52,0.93:1(THB:NT),財報日之匯率
"910579","歐聖",2497883,0,2497883,682608,1815275,22881,781048,1057108,202565,854543,76218,930761,0,930761,932439,-1678,0.57,4.82,我國與16個貿易對手通貨對美元之匯率
"9106","新焦點",3400809,2604619,796190,738561,57629,120096,89377,88348,22488,65860,0,0,0,65860,56855,9005,0.13,RMB＄1：NT$4.8073,臺灣銀行於財務報表日之即期匯率
"910801","金衛醫療",1244961,329515,915446,185145,730301,351071,826415,254957,95073,159884,201788,0,0,361672,257015,104657,0.17,HKD$1：NT$ 4.502,我國與十六個貿易對手通貨對美元之匯率
"9110","越南製造",7124513,5544644,1579869,1446790,133079,387520,124099,396500,133723,262777,0,0,0,262777,261592,1185,0.30,USD$1:NT$32.86,依財務報表日之匯率換算
"911201","僑威",6565558,5720167,845391,338272,507119,122600,269672,360047,100208,259839,0,0,0,259839,160647,99192,0.61,HKD＄1：NT$4.233,台灣銀行
"911606","超級集團",6868169,4569262,2298907,1455381,843526,42280,247847,637959,33472,604487,0,0,0,604487,588403,16084,1.06,SGD$1:NT$22.879,97.12.31www.oanda.com網站公佈之匯率
"911609","揚子江",35136324,28841164,6295160,771625,5523535,3213498,560687,8176346,363872,7812474,0,0,0,7812474,7598646,213828,2.17,RMB$1：NT$ 4.81,我國與十六個貿易對手通貨對美元之匯率
"911610","聯合環境",955711,678768,276943,168008,108935,16614,28120,97429,15744,81685,0,0,0,81685,81685,0,0.21,SGD$1:NT$22.3,依臺灣銀行98.3.31即期匯率
"911612","滬安電力",6669122,5611488,1057634,319150,738484,31956,155029,615411,170169,445242,0,0,0,445242,445242,0,1.32,4.8141,以97/12/31www.oanda.com公佈之匯率換算
"911868","同方友友",6847860,4606490,2241370,1788105,453265,325962,103645,675582,-1511,677093,0,0,0,677093,681546,-4453,0.89,HKD$1:NT$4.233,2008年年末
"9136","巨騰",30685791,25371802,5313989,1677470,3636519,419956,555514,3500961,551475,2949486,0,0,0,2949486,2821332,128154,2.82,HKD＄1：NT$4.233,台灣銀行
"9151","中國旺旺",50966870,31401342,19565528,10535065,9030463,1679950,547071,10163342,1536877,8626465,0,0,0,8626465,8615116,11349,0.66,USD1:NTD32.80,臺灣銀行於財務報表日之即期匯率
"9157","陽光能源",7190124,5028923,2161201,521849,1639352,53493,1113131,579714,163704,416010,0,0,0,416010,416010,0,0.26,RMB$1 : NT$4.8161,中央銀行 97/12/31之匯率
"9188","精熙國際",4048340,2763564,1284776,687717,597059,133529,24961,705627,21025,684602,0,0,0,684602,684602,0,0.83,USD1:NTD32.8,依臺灣銀行即期匯率(買入賣出平均價)
