公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2496,2016年01月01日至2016年03月31日,,                  4941,                  4941,,,                    980,                     10,                     -4,                              0,                    986,,,                    220,                -14736,                   -726,                  8740,                -29937,                    261,                -36178,,                    -16,                    660,                   -282,                 18174,                 18536,                -17642,                -16656,                -11715,                      4,                -11711,,                              0,                              0,,                  2438,                  2438,                 -9273,                 50627,                 41354,                 41354
2496,2015年01月01日至2015年03月31日,,                  1499,                  1499,,,                    993,                     64,                     -4,                    877,                  1930,,,                    -57,                 -6206,                    309,                     39,                 -3006,                    -35,                 -8956,,                   -783,                   -666,                   -612,                    -68,                 -2129,                -11085,                 -9155,                 -7656,                      4,                 -7652,,                    -38,                    -38,,                              0,                              0,                 -7690,                 26489,                 18799,                 18799
