公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"1101","台泥",28803403,24097042,4706361,1206631,3499730,1767666,1722172,3545224,519720,3025504,0,0,16259,3041763,2502949,0,538814,0.81
"1102","亞泥",14762508,12553383,2209125,493719,1715406,2944886,688510,3971782,419825,3551957,0,0,121981,3673938,3694331,0,-20393,1.57
"1103","嘉泥",4947977,3966513,981464,616819,364645,3476567,768759,3072453,206137,2866316,0,0,55686,2922002,2385333,0,536669,4.68
"1104","環球水泥",3306182,3060493,245689,355182,-109493,384770,81093,194184,45285,148899,0,0,274551,423450,415881,0,7569,0.82
"1108","幸福水泥",2907796,2476496,431300,165272,266028,15648,53903,227773,11935,215838,0,0,0,215838,216783,0,-945,0.54
"1109","信大水泥",1425158,1043232,381926,105568,276358,78348,24723,329983,72946,257037,0,0,240446,497483,482734,0,14749,1.13
"1110","東泥",942411,757393,185018,39181,145837,54019,3687,196169,33209,162960,0,0,-593,162367,162220,0,147,0.28
"1201","味全公司",8776429,5902954,2873475,2591132,282343,133279,194486,221136,15856,205280,0,0,-21527,183753,199194,0,-15441,0.39
"1203","味王公司",2170129,1743787,426342,383567,42775,72728,189473,-73970,8137,-82107,0,0,0,-82107,-85583,0,3476,-0.41
"1210","大成長城",17987013,16126785,1860228,1555941,304287,367858,174198,497947,117558,380389,0,0,0,380389,296875,0,83514,0.84
"1213","大飲",352101,295099,57002,59204,-2202,4794,3683,-1091,1563,-2654,0,0,0,-2654,-2654,0,0,-0.06
"1215","卜蜂企業",4545595,4104281,441314,376633,64681,27265,13193,78753,-2109,80862,0,0,0,80862,78052,0,2810,0.34
"1216","統一",115804704,82085761,33718943,31047468,2671475,3966018,3172064,3465429,945546,2519883,0,0,432042,2951925,2073896,0,878029,0.62
"1217","愛之味",2962582,1908840,1053742,935796,117946,49625,150536,17035,-5387,22422,0,0,-250,22172,18042,0,4130,0.05
"1218","泰山企業",4165004,3235169,929835,1012451,-82548,70140,84875,-97283,5298,-102581,0,0,-26731,-129312,-84229,0,-45083,-0.28
"1219","福壽實業",2680062,2387547,292515,248318,44197,37231,26803,54625,14304,40321,0,0,1110,41431,46654,0,-5223,0.17
"1220","台榮",1503236,1396245,106991,105186,1805,41999,20004,23800,2125,21675,0,0,50916,72591,70227,0,2364,0.34
"1225","福懋油",2983541,2853050,130491,141816,-11387,17715,28747,-22419,-12352,-10067,0,0,-1613,-11680,-11297,0,-383,-0.07
"1227","佳格",4259746,2591168,1668578,1374245,294333,77838,117252,254919,84801,170118,0,0,3321,173439,175333,0,-1894,0.55
"1229","聯華實業",2237019,2071411,165608,213464,-47856,629374,60887,520631,18037,502594,0,0,2180,504774,523280,0,-18506,0.78
"1231","聯華食品",1727468,1261569,465899,486986,-21087,38119,32926,-15894,-1555,-14339,0,0,29,-14310,-10588,0,-3722,-0.09
"1232","大統益",4734193,4368211,365982,189547,176435,36509,12599,200345,51237,149108,0,0,576,149684,150630,0,-946,0.94
"1233","天仁",862835,347375,515460,419329,96131,6299,4702,97728,10233,87495,0,0,0,87495,86969,0,526,1.04
"1234","黑松",1919949,1253626,666323,736328,-70005,241118,97839,73274,46066,27208,0,0,0,27208,27294,0,-86,0.05
"1235","興泰",367824,327983,39841,39489,352,10981,7295,4038,942,3096,0,0,0,3096,2381,0,715,0.06
"1236","宏亞食品",846617,569465,277152,220146,57006,14093,8240,62859,23211,39648,0,0,646,40294,40294,0,0,0.50
"1301","台塑",74314018,65478398,8835620,3828195,5037390,8148796,950611,12235575,426965,11808610,0,0,-229701,11578909,11578909,0,0,2.02
"1303","南亞塑膠",131256740,108511516,22745224,7931661,14794566,11555979,2395936,23954609,2967680,20986929,0,0,-168157,20818772,19382698,0,1436074,2.54
