年,季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2016,01,1101,台泥,78482102,200347937,278830039,64818835,59260936,124079771,36921759,12309615,45794052,12684034,--,107709460,--,--,47040808,154750268,0,--,0,                 29.17
2016,01,1102,亞泥,48453008,207240042,255693050,58894214,50688489,109582703,33614472,1155643,91749522,871496,--,127391133,--,--,18719214,146110347,0,--,0,                 37.90
2016,01,1103,嘉泥,10270628,16545849,26816477,1515478,11316666,12832144,7747805,605621,8184726,-3079840,-1149426,12308886,--,--,1675447,13984333,0,--,131226016,                 19.13
2016,01,1104,環球水泥,2976457,17239993,20216450,2470844,1382159,3853003,6282891,49272,8983685,899463,--,16215311,--,--,148136,16363447,0,--,0,                 25.81
2016,01,1108,幸福水泥,5199696,2541416,7741112,2034747,760985,2795732,4047380,8,831498,31701,0,4910587,--,--,34793,4945380,0,--,0,                 12.13
2016,01,1109,信大水泥,2318190,6184521,8502711,969912,1178998,2148910,3789007,22299,1478347,122286,0,5411939,--,--,941862,6353801,0,0,0,                 14.28
2016,01,1110,東泥,2088707,7401560,9490267,253395,320232,573627,5720008,184834,2130538,759833,-12185,8783028,--,--,133612,8916640,0,--,2112865,                 15.41
2016,01,1201,味全公司,21407304,14657015,36064319,22909717,4763759,27673476,5060629,688,406310,184117,--,5651744,--,--,2739099,8390843,0,0,0,                 11.17
2016,01,1203,味王公司,3428134,4823601,8251735,1325255,1651229,2976484,2400000,112965,1741290,87936,-38464,4303727,--,--,971524,5275251,0,0,2293865,                 18.11
2016,01,1210,大成長城,19608669,19021953,38630622,15760007,3108048,18868055,7363944,2433202,3345472,1281147,-306199,14117566,--,--,5645001,19762567,0,--,52894691,                 20.65
2016,01,1213,大飲,434641,412499,847140,126238,37129,163367,514751,21938,147371,-287,--,683773,--,--,--,683773,0,0,0,                 13.28
2016,01,1215,卜蜂企業,4187041,5642264,9829305,3746364,300836,4047200,2679910,967,1758265,1228932,--,5668074,--,--,114031,5782105,0,0,0,                 21.15
2016,01,1216,統一,137459969,259007132,396467101,146429565,88575341,235004906,56820154,3999195,37221730,2217296,--,100258375,--,--,61203820,161462195,0,0,0,                 17.64
2016,01,1217,愛之味,2097435,9126887,11224322,1998447,3235613,5234060,4872053,330030,186207,-93508,0,5294782,--,--,695480,5990262,0,0,0,                 10.87
2016,01,1218,泰山企業,3127445,4888320,8015765,2253016,2297566,4550582,3533360,23770,127938,-21049,-203876,3460143,0,--,5040,3465183,0,0,13680042,                 10.19
2016,01,1219,福壽實業,3757362,3793262,7550624,1851947,1747766,3599713,3188256,36696,620665,1808,--,3847425,--,--,103486,3950911,0,0,0,                 12.07
2016,01,1220,台榮,1870662,1083305,2953967,407713,212343,620056,1770779,1413,483704,-80083,0,2175813,--,--,158098,2333911,0,--,0,                 12.29
2016,01,1225,福懋油,3824297,2634420,6458717,1250179,1623689,2873868,2187030,121015,903646,-1964,--,3209727,--,--,375122,3584849,0,--,0,                 14.68
2016,01,1227,佳格,14313458,5769191,20082649,5235186,570777,5805963,7926972,63153,5893919,208980,-21182,14071842,--,--,204844,14276686,0,0,5777436,                 17.88
2016,01,1229,聯華實業,2475426,22571235,25046661,3034077,1274477,4308554,8887198,733637,9028646,2005952,-2393,20653040,--,--,85067,20738107,0,--,98000,                 23.24
2016,01,1231,聯華食品,3082328,3381438,6463766,1827227,1700198,3527425,1481131,72435,1319417,44686,--,2917669,--,--,18672,2936341,0,--,0,                 19.70
2016,01,1232,大統益,4305558,605872,4911430,960458,68192,1028650,1599749,23784,2214268,0,--,3837801,--,--,44979,3882780,0,0,0,                 23.99
2016,01,1233,天仁,729827,1201752,1931579,331562,122968,454530,905919,54263,589355,-74895,-2754,1471888,--,--,5161,1477049,0,0,60000,                 16.26
