年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/04,1101,台泥,90593376,202472979,293066355,68083832,69498271,137582103,36921759,12309615,45573057,13238554,--,108042985,--,--,47441267,155484252,0,--,0,29.26
2015/04,1102,亞泥,52844285,217232924,270077209,65223927,49999090,115223017,33614472,1155643,91552336,9576422,--,135898873,--,--,18955319,154854192,0,--,0,40.43
2015/04,1103,嘉泥,10683575,16699467,27383042,1526371,11810325,13336696,7768285,605975,8373346,-3201522,-1170260,12375824,--,--,1670522,14046346,0,--,133274016,19.23
2015/04,1104,環球水泥,3040355,16930516,19970871,2461629,1508856,3970485,6282891,49272,8638396,879385,--,15849944,--,--,150442,16000386,0,--,0,25.23
2015/04,1108,幸福水泥,5212763,2642739,7855502,1824743,1185095,3009838,4047380,8,728106,36356,0,4811850,--,--,33814,4845664,0,0,0,11.89
2015/04,1109,信大水泥,2385481,6250845,8636326,946924,1301474,2248398,3789007,22299,1489929,119858,0,5421093,--,--,966835,6387928,0,0,0,14.31
2015/04,1110,東泥,1963758,7418780,9382538,388568,354277,742845,5720008,184834,2013075,699498,-12185,8605230,--,--,34463,8639693,0,--,2112865,15.1
2015/04,1201,味全公司,21131764,15351042,36482806,20979868,7032391,28012259,5060629,688,519988,241613,--,5822918,--,--,2647629,8470547,0,0,0,11.51
2015/04,1203,味王公司,3500653,4850509,8351162,1466270,1718243,3184513,2400000,112965,1652310,105180,-38464,4231991,--,--,934658,5166649,0,0,2293865,17.8
2015/04,1210,大成長城,20748646,19278897,40027543,16856198,3922739,20778937,7363944,2432809,2846511,1297032,-306199,13634097,--,--,5614509,19248606,0,--,52894691,19.95
2015/04,1213,大飲,443339,400069,843408,127397,37231,164628,514751,21938,142387,-296,--,678780,--,--,--,678780,0,0,0,13.19
2015/04,1215,卜蜂企業,4494581,5149646,9644227,3822141,637501,4459642,2679910,967,1502969,873298,--,5057144,--,--,127441,5184585,0,0,0,18.87
2015/04,1216,統一,138480338,260468151,398948489,150426162,92832590,243258752,56820154,3957172,32878661,2680259,--,96336246,--,--,59353491,155689737,0,0,0,16.95
2015/04,1217,愛之味,2203751,9190986,11394737,2833488,2467101,5300589,4872053,370221,220400,-62489,0,5400185,--,--,693963,6094148,0,0,0,11.08
2015/04,1218,泰山企業,2873551,4885434,7758985,1706083,2643866,4349949,3533360,23770,74965,-24131,-203876,3404088,--,--,4948,3409036,0,0,13680042,10.02
2015/04,1219,福壽實業,3983022,3719118,7702140,1949196,1828979,3778175,3188256,36696,580015,1589,--,3806556,--,--,117409,3923965,0,0,0,11.94
2015/04,1220,台榮,2011228,1083488,3094716,490241,298061,788302,1770779,1413,450823,-71207,0,2151808,--,--,154606,2306414,0,--,0,12.15
2015/04,1225,福懋油,4031755,2613668,6645423,1518974,1649948,3168922,2187030,121015,808692,20879,--,3137616,--,--,338885,3476501,0,--,0,14.35
2015/04,1227,佳格,15391892,5137382,20529274,6441771,584030,7025801,7926972,63153,5022383,314831,-21182,13306157,--,--,197316,13503473,0,0,5777436,16.91
2015/04,1229,聯華實業,2576773,21922908,24499681,2796235,1446093,4242328,8887198,733595,8687158,1864290,-2393,20169848,--,--,87505,20257353,0,--,98000,22.7
2015/04,1231,聯華食品,3033181,3447336,6480517,1806721,1859820,3666541,1481131,72435,1195139,47957,--,2796662,--,--,17314,2813976,0,--,0,18.88
2015/04,1232,大統益,4237990,618688,4856678,1081615,69025,1150640,1599749,23784,2040321,0,--,3663854,--,--,42184,3706038,0,0,0,22.9
2015/04,1233,天仁,756161,1231666,1987827,412564,121547,534111,905919,54263,539161,-47254,-2754,1449335,--,--,4381,1453716,0,0,60000,16.01
2015/04,1234,黑松,7668642,14440253,22108895,1996439,2695210,4691649,4018711,184583,13157871,56081,0,17417246,--,--,0,17417246,0,--,0,43.34
2015/04,1235,興泰,2066218,686433,2752651,984719,334540,1319259,606623,41515,234420,560639,-9953,1433244,--,--,148,1433392,0,--,1978138,24.42
2015/04,1236,宏亞食品,919000,2494836,3413836,727906,747444,1475350,1083425,33396,425834,395831,0,1938486,--,--,0,1938486,0,0,0,17.89
2015/04,1256,F-鮮活,999968,643203,1643171,662440,104136,766576,271656,60109,502718,38870,--,873353,--,--,3242,876595,0,--,0,32.15
2015/04,1262,F-綠悅,4235102,7566924,11802026,1702540,646,1703186,1485000,4970783,3297293,345764,--,10098840,--,--,--,10098840,0,--,0,68.01
2015/04,1301,台塑,148558505,274942545,423501050,59464052,76602094,136066146,63657408,11443715,147649596,64684185,--,287434904,--,--,--,287434904,0,0,0,45.15
2015/04,1303,南亞塑膠,199737404,313988572,513725976,66602248,109172502,175774750,79308216,23642467,169705210,51627849,0,324283742,--,--,13667484,337951226,0,--,0,40.89
2015/04,1304,台聚,29919050,27579096,57498146,14369867,12078986,26448853,11426024,197714,5930728,-53852,-475606,17025008,--,--,14024285,31049293,0,0,111943075,16.52
2015/04,1305,華夏,6409452,5964235,12373687,2616130,2972381,5588511,4683034,8221,1730158,54597,0,6476010,0,--,309166,6785176,0,0,0,13.83
2015/04,1307,三芳化工,7762717,6305427,14068144,3438348,2162919,5601267,3862312,137866,3994491,472208,--,8466877,--,--,--,8466877,0,--,0,21.92
2015/04,1308,亞聚,2268409,7823800,10092209,1041768,354735,1396503,4931607,14046,3910532,-160479,0,8695706,--,--,0,8695706,0,0,0,17.63
2015/04,1309,台達化工,5658976,3562711,9221687,4025885,1820719,5846604,3276518,469,-69113,167209,--,3375083,--,--,--,3375083,0,0,0,10.3
2015/04,1310,台苯,4705276,7190258,11895534,3487413,1822806,5310219,5278698,84646,1108202,-275941,0,6195605,--,--,389710,6585315,0,0,0,11.74
2015/04,1312,國喬石化,6644697,16485669,23130366,2474365,1728330,4202695,9266203,115935,6577702,854456,-199604,16614692,--,--,2312979,18927671,0,0,8254473,18.09
2015/04,1313,聯成,17803758,19163895,36967653,9863336,9106111,18969447,11712366,1111644,3829573,1572895,-228272,17998206,--,--,0,17998206,0,0,22606000,15.67
2015/04,1314,中石化,15118402,60636401,75754803,5278759,17218026,22496785,23199897,18141,31081107,-1257758,--,53041387,--,--,216631,53258018,0,0,0,22.86
2015/04,1315,達新工業,3858733,5137565,8996298,1056414,1018943,2075357,1980000,70498,3693536,1291779,-118879,6916934,0,--,4007,6920941,0,0,7137000,36.24
2015/04,1316,上曜,2916686,661548,3578234,1109423,598768,1708191,1699079,134614,-600359,-5583,-23932,1203819,--,--,666224,1870043,0,0,9269000,7.49
2015/04,1319,東陽,10617579,25652108,36269687,9279685,7860106,17139791,5914771,4149257,7726089,334530,--,18124647,--,--,1005249,19129896,0,--,0,30.64
2015/04,1321,大洋,1405890,9130021,10535911,1467316,4106329,5573645,2272283,7792,2729004,-10624,-36189,4962266,0,--,0,4962266,0,0,6542716,22.49
2015/04,1323,永裕,2068422,1661732,3730154,626663,1152041,1778704,912745,55817,709438,51390,-2813,1726577,--,--,224873,1951450,0,0,1200017,19.17
2015/04,1324,地球工業,890282,410746,1301028,251321,61440,312761,751219,0,222955,14093,0,988267,--,--,0,988267,0,0,0,13.16
2015/04,1325,恒大,1150402,966620,2117022,88490,77509,165999,1003308,2954,838051,11788,0,1856101,--,--,94922,1951023,0,0,0,18.5
2015/04,1326,台化,210949403,302036027,512985430,82359693,97548204,179907897,58611863,8875002,138361321,77334641,-352309,282830518,--,--,50247015,333077533,0,0,18256610,48.41
2015/04,1337,F-再生,3762283,7569242,11331525,954293,71138,1025431,2595884,2949789,4107032,653389,0,10306094,--,--,--,10306094,0,--,0,39.7
2015/04,1338,F-廣華,5743151,3603374,9346525,2282721,430102,2712823,838400,2787090,2459405,383543,0,6468438,0,--,165264,6633702,0,0,0,77.15
2015/04,1339,昭輝,1571951,3764391,5336342,953887,1227487,2181374,741389,1166005,1000123,34112,0,2941629,--,--,213339,3154968,0,--,0,39.68
2015/04,1340,F-勝悅,6132140,258852,6390992,736263,7230,743493,1148932,2540814,1752308,205445,--,5647499,--,--,--,5647499,0,--,0,49.15
2015/04,1402,遠東新,113653244,405111878,518765122,94848512,163519607,258368119,53528751,2807683,136939498,4000696,-25063,197251565,--,--,63145438,260397003,0,--,779000,36.86
2015/04,1410,南染,717636,810891,1528527,104600,181719,286319,720000,21784,464211,-16124,--,1189871,--,--,52337,1242208,0,0,0,16.53
2015/04,1413,宏洲纖維,785862,1517425,2303287,681800,780242,1462042,1321124,0,-479879,0,0,841245,--,--,0,841245,0,0,0,6.37
2015/04,1414,東和,842040,3938031,4780071,906628,797022,1703650,2200000,0,1011437,-135016,--,--,--,--,--,3076421,0,0,0,13.98
2015/04,1416,廣豐,4940300,7008037,11948337,4418064,2470838,6888902,2640202,866164,1063902,470259,0,5040527,--,--,18908,5059435,0,0,0,19.09
2015/04,1417,嘉裕,3266463,2527911,5794374,1303757,251070,1554827,3798837,--,-85639,526349,--,4239547,--,--,--,4239547,0,--,0,11.16
2015/04,1418,東華,432583,1370613,1803196,943674,353361,1297035,1319276,8005,-661253,-61244,-98717,506067,--,--,94,506161,0,0,8733000,4.11
2015/04,1419,新紡,1980789,9382711,11363500,3247131,856636,4103767,3000413,1610,1876682,2331011,-13174,7196542,0,--,63191,7259733,0,0,803829,24.05
2015/04,1423,利華羊毛,1409562,1422921,2832483,20306,231528,251834,1730000,122705,392765,335179,0,--,--,--,--,2580649,0,--,0,14.92
2015/04,1432,大魯閣,1481125,4800637,6281762,1755756,1688141,3443897,1665272,697663,-112944,82630,-70174,2262447,--,--,575418,2837865,0,0,3500000,13.88
2015/04,1434,福懋興業,22927207,57127848,80055055,10609001,13377324,23986325,16846646,20791,11710373,24143610,-22285,52699135,--,--,3369595,56068730,0,0,2563228,31.33
2015/04,1435,中福國際,396648,716912,1113560,3917,168001,171918,1397801,1302,-298170,0,-159275,941658,--,--,-16,941642,0,--,14424000,7.51
2015/04,1436,華友聯,6167363,377330,6544693,4038923,266420,4305343,690000,245201,1304149,0,--,2239350,--,--,--,2239350,0,0,0,32.45
2015/04,1437,勤益投控,1513003,7784932,9297935,454132,4146656,4600788,2001899,310817,2212243,190821,-48708,4667072,--,--,30075,4697147,0,0,2303000,23.58
2015/04,1438,裕豐,583788,36149,619937,1818,68800,70618,1024115,81330,-556126,0,0,--,--,--,--,549319,0,0,0,5.36
