年,季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2016,03,1101,台泥,74178175,190899771,265077946,61983521,57636521,119620042,36921759,13534162,45208495,9511612,--,105176028,--,--,40281876,145457904,0,--,0,                 28.49
2016,03,1102,亞泥,41216329,197310910,238527239,51580408,47627893,99208301,33614472,1167204,90194048,-3414094,--,121561630,--,--,17757308,139318938,0,--,0,                 36.16
2016,03,1103,嘉泥,8638868,17312584,25951452,2134150,7925507,10059657,7747805,617579,8176328,-1246523,-1149426,14145763,--,--,1746032,15891795,0,--,131226000,                 21.98
2016,03,1104,環球水泥,2650785,17454049,20104834,2514312,1384636,3898948,6345720,49272,9160940,525302,--,16081234,--,--,124652,16205886,0,--,0,                 25.34
2016,03,1108,幸福水泥,5367970,2433071,7801041,2611678,417435,3029113,4047380,8,657936,36514,0,4741838,--,--,30090,4771928,0,0,0,                 11.72
2016,03,1109,信大水泥,2350290,5958548,8308838,984222,1058187,2042409,3789007,22299,1497743,45594,0,5354643,--,--,911786,6266429,0,0,0,                 14.13
2016,03,1110,東泥,2078659,7263503,9342162,324074,316172,640246,5720008,185044,2025366,649723,-12185,8567956,--,--,133960,8701916,0,--,2112865,                 15.03
2016,03,1201,味全公司,21668714,14104276,35772990,22770829,5136271,27907100,5060629,688,65188,-13156,--,5113349,--,--,2752541,7865890,0,0,0,                 10.10
2016,03,1203,味王公司,3649031,4768102,8417133,1714650,1628866,3343516,2400000,112965,1695881,79002,-38464,4249384,--,--,824233,5073617,0,0,2293865,                 17.88
2016,03,1210,大成長城,19331754,18586491,37918245,15576013,2481480,18057493,7363944,2470076,3926504,967794,-306199,14422119,--,--,5438633,19860752,0,--,52894691,                 21.10
2016,03,1213,大飲,470956,441471,912427,177581,36861,214442,566226,21938,110054,-233,--,697985,--,--,--,697985,0,0,0,                 12.33
2016,03,1215,卜蜂企業,4362016,6342832,10704848,3901881,537009,4438890,2679910,967,1813353,1624423,--,6118653,--,--,147305,6265958,0,0,0,                 22.83
