年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,1314,中石化,15759824,59436592,75196416,4516800,17071070,21587870,23199897,18141,31156549,-986607,--,53387980,--,--,220566,53608546,0,0,0,23.01
2015/03,1315,達新工業,3738782,5211752,8950534,1110725,1071404,2182129,1980000,70498,3627054,1204285,-118879,6762958,0,--,5447,6768405,0,0,7137000,35.43
2015/03,1316,上曜,2785693,621423,3407116,832451,661674,1494125,1699079,129080,-568779,-8235,-20541,1230604,0,--,682387,1912991,0,0,8301000,7.61
2015/03,1319,東陽,9887606,25115275,35002881,8700915,7667482,16368397,5914771,4149257,7145818,417209,--,17627055,--,--,1007429,18634484,0,0,0,29.8
2015/03,1321,大洋,1422748,8949088,10371836,1105066,4239012,5344078,2272283,7792,2777031,6841,-36189,5027758,--,--,--,5027758,0,0,6542716,22.78
2015/03,1323,永裕,1930487,1678211,3608698,512805,1189111,1701916,912745,55817,653534,75523,-2813,1694806,--,--,211976,1906782,0,0,1200017,18.82
2015/03,1324,地球工業,911569,418066,1329635,262083,83557,345640,751219,0,208990,23786,0,983995,--,--,0,983995,0,0,0,13.1
2015/03,1325,恒大,1101823,986162,2087985,70262,85888,156150,1003308,2954,809559,18952,0,1834773,--,--,97062,1931835,0,0,0,18.29
2015/03,1326,台化,211822733,304634704,516457437,95044374,105468264,200512638,58611863,8841002,133129307,66654887,-352309,266884750,--,--,49060049,315944799,0,0,18036610,45.67
2015/03,1337,F-再生,4014402,7914667,11929069,1358765,73699,1432464,2595884,2949789,3930008,1020924,0,10496605,--,--,--,10496605,0,--,0,40.44
2015/03,1338,F-廣華,5458251,3491219,8949470,2289296,129790,2419086,838400,2787090,2254140,517388,0,6397018,--,--,133366,6530384,0,0,0,76.3
2015/03,1339,昭輝,1613071,3312456,4925527,942942,933979,1876921,759259,1191890,943424,31989,-64964,2861598,--,--,187008,3048606,0,--,1187000,38.29
2015/03,1340,F-勝悅,6025850,301343,6327193,695376,7492,702868,1148932,2540814,1528968,405611,--,5624325,--,--,--,5624325,0,--,0,48.95
2015/03,1402,遠東新,109921253,407224799,517146052,104440656,148706270,253146926,53528751,2731027,137461257,7715799,-25063,201411771,--,--,62587355,263999126,0,--,779000,37.63
2015/03,1410,南染,690261,825849,1516110,103653,195948,299601,720000,21784,439648,-13802,--,1167630,--,--,48879,1216509,0,0,0,16.22
2015/03,1413,宏洲纖維,999387,1553713,2553100,1172127,571839,1743966,1321124,0,-511990,0,0,809134,--,--,0,809134,0,0,0,6.12
2015/03,1414,東和,749712,3943024,4692736,848691,799245,1647936,2200000,0,993218,-148418,0,--,--,--,--,3044800,0,0,0,13.84
2015/03,1416,廣豐,4790944,6363863,11154807,4102430,1906089,6008519,2640202,866184,1127492,510730,-16096,5128512,--,--,17776,5146288,0,0,3219120,19.66
2015/03,1417,嘉裕,3662868,2558765,6221633,1540671,246602,1787273,3798837,--,-8588,644111,--,4434360,--,--,--,4434360,0,--,0,11.67
2015/03,1418,東華,499824,1395686,1895510,960606,348773,1309379,1319276,8005,-583519,-59012,-98717,586033,--,--,98,586131,0,0,8733000,4.76
2015/03,1419,新紡,1848691,9295613,11144304,3234884,854732,4089616,3000413,1610,1897492,2105076,-13174,6991417,0,--,63271,7054688,0,0,803829,23.36
2015/03,1423,利華羊毛,1387774,1468034,2855808,21806,235223,257029,1730000,122705,405961,340113,0,--,--,--,--,2598779,0,--,0,15.02
2015/03,1432,大魯閣,1284103,3935579,5219682,1275455,1462302,2737757,1662834,509429,-26719,72873,-70174,2148243,--,--,333682,2481925,0,0,3500000,13.2
2015/03,1434,福懋興業,22701887,56713061,79414948,10857563,13402075,24259638,16846646,21411,11303033,23765870,-22285,51914675,--,--,3240635,55155310,0,0,2563228,30.86
2015/03,1435,中福國際,395660,721083,1116743,2851,168001,170852,1397801,1302,-293921,0,-159275,945907,--,--,-16,945891,0,--,14424000,7.55
2015/03,1436,華友聯,6108646,380900,6489546,3890734,364427,4255161,690000,245201,1299184,0,--,2234385,--,--,--,2234385,0,0,0,32.38
2015/03,1437,勤益投控,1158207,8209182,9367389,471324,4168488,4639812,2026899,314688,2238797,196390,-79510,4697264,--,--,30313,4727577,0,0,4524000,23.7
2015/03,1438,裕豐,623774,1097,624871,2070,68800,70870,1024115,81330,-551444,0,0,--,--,--,--,554001,0,0,0,5.41
2015/03,1439,中和羊毛,1379835,768850,2148685,14484,149826,164310,920000,8686,1055689,0,0,--,--,--,--,1984375,0,0,0,21.57
2015/03,1440,南紡,8478338,32543339,41021677,7745519,7396660,15142179,16568159,75112,7764315,960663,--,25368249,--,--,511249,25879498,0,0,0,15.31
2015/03,1441,大東紡織,769791,2009201,2778992,811444,1150582,1962026,897991,16841,-108786,10920,0,816966,--,--,--,816966,0,0,0,9.1
2015/03,1442,名軒,14022839,389031,14411870,5019421,4587268,9606689,2439839,873631,1487415,4296,--,4805181,--,--,--,4805181,0,--,0,19.69
2015/03,1443,立益紡織,1780169,3038457,4818626,2870516,919572,3790088,1353430,701,852,-105065,-9056,1240862,--,--,-212324,1028538,0,0,460610,9.2
2015/03,1444,力麗,5883114,11428844,17311958,4571871,681958,5253829,9573029,40841,1508099,103644,-28470,11197143,--,--,860986,12058129,0,--,10774028,11.83
2015/03,1445,大宇紡織,1170762,1168144,2338906,170728,214436,385164,1386670,172064,323191,71817,0,1953742,--,--,0,1953742,0,0,0,14.09
2015/03,1446,宏和,3070414,738454,3808868,352511,1626665,1979176,1386215,297632,171728,-12062,-13821,1829692,--,--,0,1829692,0,0,728000,13.27
2015/03,1447,力鵬,10927209,10054712,20981921,8483649,1769137,10252786,9144872,77993,1576267,-403021,-357738,10038373,--,--,690762,10729135,0,--,82948106,12.07
2015/03,1449,佳和實業,2410369,3002805,5413174,2103499,2205868,4309367,1200000,40224,-765416,398087,-14323,858572,0,--,245235,1103807,0,--,318665,7.17
2015/03,1451,年興紡織,7641476,5859583,13501059,2113951,1635595,3749546,4000000,410589,5220845,48455,--,9679889,--,--,71624,9751513,0,--,0,24.2
2015/03,1452,宏益,1651727,1043293,2695020,208253,60503,268756,1326414,151649,928762,19439,--,--,--,--,--,2426264,0,0,0,18.29
2015/03,1453,大將,725393,414513,1139906,71474,54910,126384,879164,2762,125939,-6755,0,1001110,--,--,12412,1013522,0,--,0,11.39
2015/03,1454,台富,1138255,953449,2091704,272531,120012,392543,1403098,67094,177333,128655,-77032,1699148,--,--,13,1699161,0,--,7714103,12.81
2015/03,1455,集盛,5130783,7232139,12362922,3022181,1884056,4906237,6117634,360356,977934,761,--,7456685,--,--,--,7456685,0,--,0,12.19
2015/03,1456,怡華,2415424,2046196,4461620,3193830,329476,3523306,2130000,23093,-1260941,46162,--,938314,--,--,--,938314,0,0,0,4.41
2015/03,1457,宜進,2650671,9509979,12160650,3087710,2679638,5767348,3351640,306284,505168,137658,-282628,4018122,--,--,2375180,6393302,0,0,72362089,15.29
2015/03,1459,聯發紡織,2769475,4170090,6939565,2274513,1165306,3439819,3586289,314504,807116,-846963,-514925,3346021,--,--,153725,3499746,0,0,41344531,10.55
2015/03,1460,宏遠,5317050,3875698,9192748,3171428,1328508,4499936,4711891,62039,372046,12503,-465679,4692800,--,--,12,4692812,0,--,33706585,10.73
2015/03,1463,強盛染整,2307951,1096505,3404456,1260636,117199,1377835,1732684,179073,134926,7088,-124693,1929078,--,--,97543,2026621,0,0,11447523,11.92
2015/03,1464,得力實業,4482431,3902963,8385394,3676936,629329,4306265,2337762,272926,815144,87554,-13601,3499785,--,--,579344,4079129,0,--,1114868,15.04
2015/03,1465,偉全實業,2157088,814260,2971348,500476,63845,564321,1036073,353488,345448,87475,--,1822484,--,--,584543,2407027,0,--,0,17.59
2015/03,1466,聚隆,2062408,1955437,4017845,1268312,891687,2159999,1111573,451883,294390,0,0,1857846,--,--,0,1857846,0,0,0,16.71
2015/03,1467,南緯實業,4393240,2713118,7106358,2675370,1517365,4192735,2102622,137621,388383,-271073,--,2357553,--,--,556070,2913623,0,0,0,11.21
2015/03,1468,昶和纖維,1224226,1238105,2462331,578078,685148,1263226,1604053,26753,-553399,74149,--,1151556,--,--,47549,1199105,0,--,0,7.18
