年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 22
2014/02,1101,台泥,89163129.0,191450443.0,280613572.0,81190613.0,51926594.00,133117207.0,36921759.0,12227447.00,43802392.0,14928773.00,--,107880371.00,--,--,39615994.00,147496365.0,0.0,0.0,0.0,29.22,
2014/02,1102,亞泥,62134910.0,203535444.0,265670354.0,62611733.0,54799051.00,117410784.0,33614472.0,1103147.00,90752642.0,5251957.00,--,130722218.00,--,--,17537352.00,148259570.0,0.0,0.0,0.0,39.67,
2014/02,1103,嘉泥,12823227.0,20648812.0,33472039.0,6477182.0,8203210.00,14680392.0,7768285.0,450521.00,8376507.0,1440954.00,-1149426.00,16886841.00,--,--,1904806.00,18791647.0,0.0,0.0,131226016.0,26.16,
2014/02,1104,環球水泥,2895786.0,15629904.0,18525690.0,2266967.0,1505573.00,3772540.0,6159697.0,26553.00,7294906.0,1109700.00,--,14590856.00,--,--,162294.00,14753150.0,0.0,0.0,0.0,24.16,
2014/02,1108,幸福水泥,5572577.0,2935530.0,8508107.0,2256891.0,1807217.00,4064108.0,4047380.0,7.00,352292.0,33488.00,0.00,4433167.00,--,--,10832.00,4443999.0,0.0,0.0,0.0,10.95,
2014/02,1109,信大水泥,3346895.0,6505475.0,9852370.0,1943006.0,1106674.00,3049680.0,4210008.0,22299.00,1486854.0,67801.00,0.00,5786962.00,--,--,1015728.00,6802690.0,0.0,0.0,0.0,13.75,
2014/02,1110,東泥,1804814.0,7923195.0,9728009.0,412630.0,445567.00,858197.0,5720008.0,184916.00,1946398.0,996470.00,-12185.00,8835607.00,--,--,34205.00,8869812.0,0.0,0.0,2112865.0,15.5,
2014/02,1201,味全公司,23789373.0,16495781.0,40285154.0,19999752.0,8547341.00,28547093.0,5060629.0,688.00,3275372.0,48921.00,--,8385610.00,--,--,3352451.00,11738061.0,0.0,0.0,0.0,16.57,
2014/02,1203,味王公司,3318073.0,4993356.0,8311429.0,1716240.0,1669957.00,3386197.0,2400000.0,112965.00,1559268.0,89200.00,-38464.00,4122969.00,--,--,802263.00,4925232.0,0.0,0.0,2293865.0,17.34,
2014/02,1210,大成長城,22323981.0,17888473.0,40212454.0,15627957.0,5292572.00,20920529.0,7363944.0,2337200.00,2503297.0,1241482.00,-306199.00,13139724.00,--,--,6152201.00,19291925.0,0.0,0.0,40688225.0,24.99,
