年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 22
2014/03,1101,台泥,89472928.0,193149997.0,282622925.0,78920574.0,50291316.00,129211890.0,36921759.0,12226214.00,47018226.0,15333991.00,--,111500190.00,--,--,41910845.00,153411035.0,0.0,0.0,0.0,30.2,
2014/03,1102,亞泥,57967112.0,206017357.0,263984469.0,60537507.0,51289386.00,111826893.0,33614472.0,1073113.00,92772367.0,6354884.00,--,133814836.00,--,--,18342740.00,152157576.0,0.0,0.0,0.0,39.81,
2014/03,1103,嘉泥,12611511.0,21294423.0,33905934.0,6052018.0,8718498.00,14770516.0,7768285.0,570096.00,8530345.0,1482946.00,-1149426.00,17202246.00,--,--,1933172.00,19135418.0,0.0,0.0,131226016.0,26.65,
2014/03,1104,環球水泥,2502333.0,16063827.0,18566160.0,1885848.0,1507635.00,3393483.0,6159697.0,26553.00,7652999.0,1171403.00,--,15010652.00,--,--,162025.00,15172677.0,0.0,0.0,0.0,24.37,
2014/03,1108,幸福水泥,5556970.0,2856680.0,8413650.0,2103436.0,1801963.00,3905399.0,4047380.0,7.00,433670.0,21092.00,0.00,4502149.00,--,--,6102.00,4508251.0,0.0,0.0,0.0,11.12,
2014/03,1109,信大水泥,2595882.0,6506580.0,9102462.0,1796412.0,405994.00,2202406.0,4210008.0,22299.00,1520303.0,120068.00,0.00,5872678.00,--,--,1027378.00,6900056.0,0.0,0.0,0.0,13.95,
2014/03,1110,東泥,1720836.0,7926603.0,9647439.0,297820.0,447946.00,745766.0,5720008.0,184916.00,2009648.0,964883.00,-12185.00,8867270.00,--,--,34403.00,8901673.0,0.0,0.0,2112865.0,15.56,
2014/03,1201,味全公司,22519441.0,17284003.0,39803444.0,19765519.0,8307743.00,28073262.0,5060629.0,688.00,3218777.0,127475.00,--,8407569.00,--,--,3322613.00,11730182.0,0.0,0.0,0.0,16.61,
2014/03,1203,味王公司,3253739.0,4999518.0,8253257.0,1519086.0,1683607.00,3202693.0,2400000.0,112965.00,1600701.0,139326.00,-38464.00,4214528.00,--,--,836036.00,5050564.0,0.0,0.0,2293865.0,17.73,
2014/03,1210,大成長城,22735411.0,18123638.0,40859049.0,17367125.0,3723641.00,21090766.0,7363944.0,2377847.00,2999495.0,1128065.00,-306199.00,13563152.00,--,--,6205131.00,19768283.0,0.0,0.0,52894691.0,19.84,
2014/03,1213,大飲,452104.0,427842.0,879946.0,172102.0,37762.00,209864.0,514751.0,21938.00,132684.0,709.00,--,670082.00,--,--,--,670082.0,0.0,0.0,0.0,13.02,
2014/03,1215,卜蜂企業,4226876.0,5160661.0,9387537.0,3292097.0,875465.00,4167562.0,2436282.0,967.00,1080969.0,1597227.00,--,5115445.00,--,--,104530.00,5219975.0,0.0,0.0,0.0,21.0,
2014/03,1216,統一,143569409.0,251487809.0,395057218.0,150671507.0,101029078.00,251700585.0,54634763.0,3842581.00,27063620.0,2314556.00,--,87855520.00,--,--,55501113.00,143356633.0,0.0,0.0,0.0,16.08,
2014/03,1217,愛之味,3637032.0,10518586.0,14155618.0,4263100.0,3665703.00,7928803.0,4976893.0,335628.00,242473.0,-107725.00,-100582.00,5346687.00,--,--,880128.00,6226815.0,0.0,0.0,10484000.0,10.97,
2014/03,1218,泰山企業,3643985.0,5049828.0,8693813.0,2556008.0,2744402.00,5300410.0,3533360.0,23770.00,37815.0,-2376.00,-203876.00,3388693.00,0.00,--,4710.00,3393403.0,0.0,0.0,13680042.0,9.98,
2014/03,1219,福壽實業,3291707.0,2706345.0,5998052.0,923852.0,1333070.00,2256922.0,3131882.0,39004.00,553088.0,1038.00,--,3725012.00,--,--,16118.00,3741130.0,0.0,0.0,0.0,11.89,
