年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 21
2013/02,1303,南亞塑膠,222226359.0,285843620.0,508069979.0,99946647.0,135735375.00,235682022.0,79308216.0,21927637.00,123628690.0,35212550.00,-1945.00,260075148.00,--,--,12312809.00,272387957.0,0.0,183235.0,33.12,
2013/02,1304,台聚,35434411.0,22497630.0,57932041.0,16312131.0,10936781.00,27248912.0,11426024.0,163473.00,5296913.0,194316.00,-439705.00,16641021.00,--,--,14042108.00,30683129.0,0.0,104438075.0,16.03,
2013/02,1305,華夏,5868694.0,6021834.0,11890528.0,2717015.0,3134871.00,5851886.0,4502917.0,8278.00,1266825.0,22436.00,0.00,5800456.00,--,--,238186.00,6038642.0,0.0,0.0,13.65,
2013/02,1307,三芳化工,6362196.0,5534029.0,11896225.0,3057222.0,2265132.00,5322354.0,3640599.0,137866.00,2776345.0,19061.00,0.00,6573871.00,--,--,--,6573871.0,0.0,0.0,18.6,
2013/02,1308,亞聚,4942581.0,5484511.0,10427092.0,1128903.0,351194.00,1480097.0,4696769.0,14230.00,3481891.0,754105.00,0.00,8946995.00,--,--,0.00,8946995.0,0.0,0.0,19.05,
2013/02,1309,台達化工,7064562.0,3625759.0,10690321.0,4360849.0,2161593.00,6522442.0,3276518.0,542.00,628550.0,262269.00,--,4167879.00,--,--,--,4167879.0,0.0,0.0,12.72,
2013/02,1310,台苯,5087867.0,5912818.0,11000685.0,4962034.0,553879.00,5515913.0,5027331.0,82185.00,121872.0,-533408.00,-4768.00,4693212.00,--,--,791560.00,5484772.0,0.0,229866.0,9.34,
2013/02,1312,國喬石化,7380564.0,17364755.0,24745319.0,5260087.0,2932869.00,8192956.0,9266203.0,93753.00,4885859.0,560701.00,-199604.00,14606912.00,--,--,1945451.00,16552363.0,0.0,8254473.0,15.91,
2013/02,1313,聯成,28899103.0,16369008.0,45268111.0,22177432.0,5107761.00,27285193.0,11546446.0,1130428.00,4615985.0,740780.00,-95957.00,17937682.00,--,--,45236.00,17982918.0,1110500.0,6883000.0,15.94,
2013/02,1314,中石化,13764606.0,30802479.0,44567085.0,5247962.0,6860306.00,12108268.0,23199897.0,0.00,10119573.0,-1088362.00,--,32231108.00,--,--,227709.00,32458817.0,0.0,0.0,13.89,
2013/02,1315,達新工業,4237393.0,5362103.0,9599496.0,1253185.0,1105526.00,2358711.0,2200000.0,46787.00,3501714.0,1606855.00,-126809.00,7228547.00,--,--,12238.00,7240785.0,0.0,7930000.0,34.09,
2013/02,1316,上曜,1705514.0,874035.0,2579549.0,1064298.0,228270.00,1292568.0,968127.0,82255.00,-254562.0,-436.00,-28503.00,766881.00,--,--,520100.00,1286981.0,0.0,10256000.0,8.86,
2013/02,1319,東陽,8914547.0,21435231.0,30349778.0,6730496.0,6356076.00,13086572.0,5914771.0,4105202.00,5676474.0,92225.00,-36220.00,15752452.00,--,--,1510754.00,17263206.0,0.0,1906898.0,27.39,
2013/02,1321,大洋,1729660.0,7286479.0,9016139.0,1339152.0,2591906.00,3931058.0,2272283.0,7792.00,2847136.0,-5941.00,-36189.00,5085081.00,--,--,--,5085081.0,0.0,6542716.0,23.04,
2013/02,1323,永裕,1712684.0,1617190.0,3329874.0,946437.0,817454.00,1763891.0,869281.0,54492.00,458806.0,12401.00,-2813.00,1392167.00,--,--,173816.00,1565983.0,0.0,354726.0,16.89,
2013/02,1324,地球工業,962030.0,409781.0,1371811.0,303329.0,71234.00,374563.0,751219.0,0.00,237941.0,8088.00,0.00,997248.00,--,--,0.00,997248.0,0.0,0.0,13.28,
2013/02,1325,恒大,1049444.0,1038590.0,2088034.0,117654.0,92493.00,210147.0,1006828.0,1523.00,758059.0,2282.00,--,1768692.00,--,--,109195.00,1877887.0,0.0,0.0,17.57,
2013/02,1326,台化,199121100.0,314517638.0,513638738.0,107250029.0,108983109.00,216233138.0,58611863.0,8523861.00,110563018.0,75767154.00,-339297.00,253126599.00,--,--,44279001.00,297405600.0,0.0,17836314.0,44.62,
2013/02,1337,F-再生,6049026.0,5644912.0,11693938.0,2926355.0,667945.00,3594300.0,1998329.0,2935988.00,2727676.0,437645.00,--,8099638.00,--,--,--,8099638.0,0.0,0.0,46.21,
2013/02,1338,F-廣華,4571925.0,3095156.0,7667081.0,2966256.0,229032.00,3195288.0,781000.0,2181246.00,1317316.0,165162.00,--,4444724.00,--,--,27069.00,4471793.0,0.0,0.0,62.6,
2013/02,1339,昭輝,452075.0,2319745.0,2771820.0,551833.0,647059.00,1198892.0,659259.0,361063.00,552606.0,--,--,--,--,--,--,1572928.0,0.0,0.0,23.86,
2013/02,1340,F-勝悅,2923881.0,346892.0,3270773.0,497511.0,--,497511.0,722449.0,1547754.00,388725.0,114334.00,--,2773262.00,--,--,0.00,2773262.0,0.0,0.0,38.39,
