公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 保證責任準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 取得無形資產,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還金融債券,　　 存入保證金增加,　　 存入保證金減少,　　 其他負債減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資
2836,2016年01月01日至2016年09月30日,,                537933,                537933,,,                 45356,                 16089,                348930,                -84816,              1430903,             -3316226,                -63442,                -10000,                    539,                -46318,                              0,             -1678985,,,              1131131,               -816296,                 75024,             -6300801,               -366019,             -5527695,                626151,            -11178505,,              1411551,                 82499,                807148,             -6069170,                -68118,               -626333,             -4462423,            -15640928,            -17319913,            -16781980,              3333641,                 63442,             -1527557,                -69797,            -14982251,,                -20963,                -10292,                -86275,               -117530,,             -3000000,                 16885,                              0,                 -4971,             -2988086,                    -54,            -18087921,             31320675,             13232754,              3592318,              4474850,              5165586
2836,2015年01月01日至2015年09月30日,,                532952,                532952,,,                 45544,                 15668,                327342,                 48462,              1729492,             -3586734,                -54905,                              0,                              0,                -37259,                 23586,             -1488804,,,               -170284,              5996812,                 27593,              5213569,             -8767695,             -7295259,               -513367,             -5508631,,              1072744,                631853,                818093,             -5854576,                 -2692,                 21674,             -3312904,             -8821535,            -10310339,             -9777387,              3455572,                 53741,             -1707246,                -44115,             -8019435,,                -24868,                -21440,                -80500,               -126808,,                              0,                              0,                 -2281,                -13910,                -16191,                -23726,             -8186160,             33768670,             25582510,              3118709,              7529577,             14934224
