公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
1702,2016年01月01日至2016年09月30日,,              1466895,              1466895,,,                497338,                 -3784,                   -144,                 77368,                -60526,                  2566,                512818,,,                 24744,                -29134,                180518,               -102842,                 44873,               -179432,                -61273,,                   -121,                139233,                128325,                  1090,                 33702,               -284206,                 -4545,                 13478,                -47795,                465023,              1931918,                 60526,                -77008,               -384876,              1530560,,                    144,                249750,             -2464302,                  8869,                 30249,                -19818,             -2195108,,              6820672,             -8674640,                205000,              4014030,             -2585934,                              0,                -20751,               -765192,             -1006815,               -105285,             -1776648,              5330938,              3554290,              3554290
1702,2015年01月01日至2015年09月30日,,              1251898,              1251898,,,                471955,                 -2893,                 -2248,                111335,                -65481,                  2804,                515472,,,                -51373,               -309083,                146456,                220604,               -113724,               -142724,               -249844,,                   -537,                 61066,                276355,                              0,                 19618,                   -432,                 39474,                395544,                145700,                661172,              1913070,                 65481,               -113059,               -361457,              1504035,,                  3245,                              0,               -804441,                 10070,                133322,                              0,               -657804,,              8351721,             -7745421,                 14994,              1119807,               -900065,                 36657,                              0,               -691563,                186130,                 38611,              1070972,              4461887,              5532859,              5532859
