公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
9910,2016年01月01日至2016年09月30日,,              5172435,              5172435,,,              1234595,                 33840,                 36336,                -20351,                 -3744,                -19420,                 29063,                 10231,              1300550,,,               -183705,                313797,               -160868,                -43210,                -73986,,               -143640,               -131172,                 21531,                160067,                  9412,                -83802,               -157788,              1142762,              6315197,                 21210,                -36000,             -1024562,              5275845,,                              0,             -2350182,                 64593,                -43589,                -19725,                  6368,                  4123,                -85334,             -2423746,,              1092408,                998390,             -1488571,             -2981875,               -212877,                              0,             -2592525,               -159280,                100294,              2374118,              2474412,              2474412
9910,2015年01月01日至2015年09月30日,,              4506061,              4506061,,,              1046299,                 24546,                 49326,                -16459,                 -2390,                -49531,                 23181,                 17301,              1092273,,,                143935,               -170264,                385694,                -95481,                263884,,                398436,               -233637,                -39777,                 45267,                  6627,                176916,                440800,              1533073,              6039134,                 15898,                -50448,               -705383,              5299201,,               -155550,             -2137992,                 64121,                -67278,                 16343,                  5793,                  3852,                 19081,             -2251630,,               -260103,              1083427,               -847442,             -2142318,               -162060,                              0,             -2328496,               -191572,                527503,              1891230,              2418733,              2418733
