公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款減少,　　 退還（支付）之所得稅,　　 退還（支付）之所得稅,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
3013,2015年度,,                 95531,                 95531,,,                260636,                  3256,                  3512,                 10875,                 -1431,                              0,                  7109,                  7287,                291244,,,                 -2000,                 25005,                -99406,                -16878,                  1915,                -91364,,                 15763,                 19570,                 35333,                -56031,                235213,                330744,                  1566,                 -2289,                              0,                330021,,               -164844,                  2656,                 -1271,                 21000,                 -8643,                 -2289,                              0,                 -4960,               -156062,,               -100000,                190000,               -183000,                -42798,                              0,                -10640,                    550,               -145888,                              0,                 28071,                305207,                333278,                333278
3013,2014年度,,                165397,                165397,,,                199968,                  5124,                     36,                 16856,                 -1978,                  7662,                  5223,               -159778,                 73113,,,                              0,                -17141,                -20260,                 -3920,                  3834,                -37487,,                -59558,                  8204,                -51354,                -88841,                -15728,                149669,                  1990,                -23600,                -28860,                128059,,               -140949,                245528,                 -4720,                 92150,                 -9829,                -23600,                -28860,                    -44,                153276,,                -30863,                 60000,               -288000,                              0,                 22383,                -16399,                    261,               -252618,                 11521,                 40238,                264969,                305207,                305207
