年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015,04,1101,台泥,93679076,79151059,14528017,--,--,14528017,4854318,--,9673699,-1007684,8666015,1740389,6925626,--,--,6925626,-7518044,--,-592418,5775989,--,1149637,-806454,--,214036,1.56
2015,04,1102,亞泥,66287480,59228641,7058839,92,--,7058747,3018802,--,4039945,2774213,6814158,1879675,4934483,--,--,4934483,-3860529,--,1073954,4860241,--,74242,1343662,--,-269708,1.55
2015,04,1103,嘉泥,2826519,2934267,-107748,--,--,-107748,463763,980475,408964,-214064,194900,-18421,213321,--,--,213321,-5168459,--,-4955138,221518,--,-8197,-4760135,--,-195003,0.34
2015,04,1104,環球水泥,5163751,4626191,537560,--,--,537560,364277,--,173283,1298315,1471598,88490,1383108,--,--,1383108,-589701,--,793407,1392731,--,-9623,803364,--,-9957,2.22
2015,04,1108,幸福水泥,5021353,4115087,906266,--,--,906266,281937,14,624343,-8019,616324,112889,503435,-40672,--,462763,114,--,462877,470161,--,-7398,470063,--,-7186,1.16
2015,04,1109,信大水泥,4350645,3911089,439556,--,--,439556,381758,--,57798,-46743,11055,68462,-57407,0,--,-57407,-72042,--,-129449,17977,--,-75384,-38346,--,-91103,0.04
2015,04,1110,東泥,1857289,1718202,139087,--,--,139087,67805,--,71282,72677,143959,-507,144466,--,--,144466,-249155,--,-104689,143995,--,471,-105156,--,467,0.25
2015,04,1201,味全公司,20051241,14550795,5500446,--,--,5500446,6895500,--,-1395054,-503074,-1898128,-209136,-1688992,-504597,--,-2193589,-135041,--,-2328630,-1913684,--,-279905,-2048681,--,-279949,-3.78
2015,04,1203,味王公司,6632768,5002047,1630721,0,0,1630721,911475,--,719246,-113331,605915,146177,459738,0,--,459738,-128058,--,331680,266646,--,193092,188977,--,142703,1.12
2015,04,1210,大成長城,78252167,69848045,8404122,--,--,8404122,6862462,--,1541660,-572961,968699,482484,486215,--,--,486215,-195505,--,290710,591381,--,-105166,516983,--,-226273,0.87
2015,04,1213,大飲,736453,628989,107464,--,--,107464,87850,--,19614,1844,21458,4947,16511,--,--,16511,0,--,16511,16511,--,--,16511,--,--,0.32
