年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015,02,1101,台泥,46434327,39655906,6778421,--,--,6778421,2167282,--,4611139,101237,4712376,1010013,3702363,--,--,3702363,-2911615,--,790748,3051907,--,650456,861165,--,-70417,0.83
2015,02,1102,亞泥,32252761,28822804,3429957,822,0,3429135,1428418,--,2000717,3125491,5126208,549957,4576251,--,--,4576251,671196,--,5247447,4356999,--,219252,5420782,--,-173335,1.39
2015,02,1103,嘉泥,1408790,1492139,-83349,--,--,-83349,210711,39907,-254153,244544,-9609,57997,-67606,--,--,-67606,-1711113,--,-1778719,-79498,--,11892,-1723417,--,-55302,-0.12
2015,02,1104,環球水泥,2558276,2342505,215771,--,--,215771,167082,--,48689,622817,671506,59837,611669,--,--,611669,-23880,--,587789,615988,--,-4319,592108,--,-4319,0.98
2015,02,1108,幸福水泥,2636961,2062912,574049,--,--,574049,147893,-9647,416509,-22329,394180,85320,308860,--,--,308860,-10811,--,298049,315548,--,-6688,304438,--,-6389,0.78
2015,02,1109,信大水泥,2052241,1847004,205237,--,--,205237,190904,--,14333,-8908,5425,34650,-29225,--,--,-29225,-71996,--,-101221,-3524,--,-25701,-54804,--,-46417,-0.01
2015,02,1110,東泥,958841,873285,85556,--,--,85556,28647,--,56909,1008,57917,-2980,60897,--,--,60897,8225,--,69122,60629,--,268,68858,--,264,0.11
2015,02,1201,味全公司,10243099,7553680,2689419,--,--,2689419,3394070,--,-704651,-82762,-787413,-88453,-698960,92983,--,-605977,-112390,--,-718367,-601833,--,-4144,-706205,--,-12162,-1.19
2015,02,1203,味王公司,3305337,2519116,786221,0,0,786221,433050,--,353171,60784,413955,97513,316442,0,--,316442,-103747,--,212695,202958,--,113484,145723,--,66972,0.85
2015,02,1210,大成長城,38795605,34969209,3826396,--,--,3826396,3364004,--,462392,-27898,434494,201438,233056,-3952,--,229104,-306052,--,-76948,255946,--,-26842,135024,--,-211972,0.37
2015,02,1213,大飲,346477,289736,56741,--,--,56741,43908,--,12833,2314,15147,3831,11316,--,--,11316,-6,--,11310,11316,--,--,11310,--,--,0.22
2015,02,1215,卜蜂企業,7937950,7044055,893895,--,--,893895,543020,2206,353081,30632,383713,96608,287105,--,--,287105,-283891,--,3214,276717,--,10388,-5224,--,8438,1.14
