年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,04,1101,台泥,116098947,93275950,22822997,--,--,22822997,5047022,--,17775975,828481,18604456,3485773,15118683,--,--,15118683,6121882,--,21240565,10026731,--,5091952,14336481,--,6904084,2.72
2013,04,1102,亞泥,70172781,61158946,9013835,32,--,9013803,2370095,--,6643708,3634132,10277840,1825950,8451890,--,--,8451890,2334447,--,10786337,6805830,--,1646060,8373288,--,2413049,2.21
2013,04,1103,嘉泥,4268305,4033360,234945,--,--,234945,473491,654569,416023,922781,1338804,48877,1289927,--,--,1289927,3889029,--,5178956,1272068,--,17859,4994028,--,184928,1.97
2013,04,1104,環球水泥,5276157,4814387,461770,--,--,461770,346881,--,114889,1033604,1148493,29514,1118979,--,--,1118979,628425,--,1747404,1113121,--,5858,1741546,--,5858,1.84
2013,04,1108,幸福水泥,4869590,4327188,542402,--,--,542402,271271,--,271131,-59423,211708,48891,162817,--,--,162817,-10140,--,152677,179445,--,-16628,171043,--,-18366,0.44
2013,04,1109,信大水泥,4551240,3746125,805115,--,--,805115,482249,0,322866,48159,371025,48325,322700,0,--,322700,101176,--,423876,274532,--,48168,330324,--,93552,0.65
2013,04,1110,東泥,2024604,1766933,257671,--,--,257671,63241,--,194430,-82500,111930,-34930,146860,--,--,146860,216128,--,362988,146033,--,827,362154,--,834,0.26
2013,04,1201,味全公司,29200402,19976484,9223918,--,--,9223918,7926750,--,1297168,-190556,1106612,402662,703950,--,--,703950,123608,--,827558,872887,--,-168937,972832,--,-145274,1.72
2013,04,1203,味王公司,5996151,4688234,1307917,0,0,1307917,862121,--,445796,84900,530696,167473,363223,0,--,363223,-20455,--,342768,263475,--,99748,295460,--,47308,1.11
2013,04,1210,大成長城,90478017,82822769,7655248,--,--,7655248,6814943,--,840305,1753033,2593338,336698,2256640,--,--,2256640,394395,--,2651035,1795696,--,460944,1948551,--,702484,3.42
2013,04,1213,大飲,720142,614513,105629,--,--,105629,88175,--,17454,3452,20906,4472,16434,--,--,16434,96,--,16530,16434,--,--,16530,--,--,0.32
2013,04,1215,卜蜂企業,18122414,16437261,1685153,--,--,1685153,1158759,13443,539837,24733,564570,112842,451728,--,--,451728,-148276,--,303452,453081,--,-1353,299575,--,3877,1.95
2013,04,1216,統一,423056211,292198739,130857472,--,--,130857472,112769887,--,18087585,7194576,25282161,4542199,20739962,--,--,20739962,2865308,--,23605270,12764241,--,7975721,14601200,--,9004070,2.48
2013,04,1217,愛之味,4479802,3101566,1378236,--,--,1378236,1414655,--,-36419,-100536,-136955,4388,-141343,--,--,-141343,4354,--,-136989,-134669,--,-6674,-138538,--,1549,-0.28
2013,04,1218,泰山企業,9112164,7967825,1144339,410,-16,1143913,1493144,--,-349231,243693,-105538,13789,-119327,--,--,-119327,-904,--,-120231,-119396,--,69,-120302,--,71,-0.35
2013,04,1219,福壽實業,10510873,9976824,534049,--,--,534049,551982,--,-17933,38223,20290,-3597,23887,--,--,23887,-1251,--,22636,28143,--,-4256,26892,--,-4256,0.09
2013,04,1220,台榮,3535821,3293454,242367,--,--,242367,205837,--,36530,11724,48254,7812,40442,--,--,40442,26666,--,67108,57271,--,-16829,83081,--,-15973,0.32
2013,04,1225,福懋油,14209086,13526734,682352,152,--,682200,531797,27,150430,-52461,97969,25335,72634,--,--,72634,16207,--,88841,62240,--,10394,78447,--,10394,0.32
2013,04,1227,佳格,20379206,14723320,5655886,--,--,5655886,3658580,--,1997306,250971,2248277,385422,1862855,--,--,1862855,159561,--,2022416,1859582,--,3273,2018987,--,3429,2.83
2013,04,1229,聯華實業,5364070,4754103,609967,--,--,609967,368394,--,241573,1134543,1376116,53760,1322356,--,--,1322356,627151,--,1949507,1334288,--,-11932,1960641,--,-11134,1.57
2013,04,1231,聯華食品,5386837,4011794,1375043,0,0,1375043,1049428,--,325615,105265,430880,91698,339182,--,--,339182,4459,--,343641,342639,--,-3457,344791,--,-1150,2.59
2013,04,1232,大統益,20047360,18773322,1274038,--,--,1274038,514716,--,759322,92896,852218,138550,713668,--,--,713668,-30928,--,682740,706875,--,6793,675826,--,6914,4.42
2013,04,1233,天仁,2076258,822203,1254055,--,--,1254055,1015091,--,238964,38728,277692,47115,230577,--,--,230577,-25541,--,205036,230963,--,-386,206291,--,-1255,2.55
2013,04,1234,黑松,6537718,4698597,1839121,--,--,1839121,1733667,--,105454,869957,975411,663292,312119,0,--,312119,-93083,--,219036,312119,--,--,219036,--,--,0.64
2013,04,1235,興泰,249386,231335,18051,0,0,18051,30663,--,-12612,-30736,-43348,2676,-46024,--,--,-46024,-73283,--,-119307,-45637,--,-387,-118920,--,-387,-0.84
2013,04,1236,宏亞食品,2685119,1898917,786202,--,--,786202,591875,--,194327,-37909,156418,20250,136168,--,--,136168,31093,--,167261,136168,--,--,167261,--,--,1.26
2013,04,1256,F-鮮活,1729641,1221654,507987,--,--,507987,203418,--,304569,14444,319013,102261,216752,--,--,216752,27872,--,244624,216454,--,298,244218,--,406,12.27
2013,04,1262,F-綠悅,5170768,3454305,1716463,--,--,1716463,302149,--,1414314,-69603,1344711,212859,1131852,--,--,1131852,157488,--,1289340,1131852,--,--,1289340,--,--,10.22
2013,04,1301,台塑,215424768,199760375,15664393,--,--,15664393,11084062,--,4580331,18584167,23164498,2448657,20715841,--,--,20715841,23865505,--,44581346,20715841,--,--,44581346,--,--,3.25
2013,04,1303,南亞塑膠,311005289,278338457,32666832,5605,0,32661227,17849084,--,14812143,16145320,30957463,5893763,25063700,--,--,25063700,17778116,--,42841816,25271588,--,-207888,43049704,--,-207888,3.19
2013,04,1304,台聚,58678881,53963133,4715748,--,--,4715748,3343365,-12814,1359569,745437,2105006,396737,1708269,-17515,--,1690754,319496,--,2010250,817164,--,873590,1066935,--,943315,0.79
2013,04,1305,華夏,14191319,12228005,1963314,--,--,1963314,1040057,-12814,910443,92904,1003347,170996,832351,-17515,--,814836,-1413,--,813423,753119,--,61717,751258,--,62165,1.67
2013,04,1307,三芳化工,10488145,7971787,2516358,--,--,2516358,1558405,--,957953,69706,1027659,234975,792684,6145,--,798829,143685,--,942514,798829,--,--,942514,--,--,2.19
2013,04,1308,亞聚,5804229,5312870,491359,--,--,491359,212102,--,279257,326700,605957,69102,536855,--,--,536855,-340879,--,195976,536855,--,--,195976,--,--,1.14
