年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,02,1101,台泥,52784231,44038350,8745881,--,--,8745881,2130160,--,6615721,333842,6949563,1147834,5801729,--,--,5801729,62501,--,5864230,3999822,--,1801907,2860750,--,3003480,1.08
2013,02,1102,亞泥,32112806,28709964,3402842,0,25,3402867,1164883,--,2237984,2546041,4784025,477786,4306239,--,--,4306239,-656597,--,3649642,3713735,--,592504,2412392,--,1237250,1.23
2013,02,1103,嘉泥,1792335,1820457,-28122,--,--,-28122,201190,--,-229312,214709,-14603,-29145,14542,--,--,14542,-556563,--,-542021,49143,--,-34601,-508520,--,-33501,0.08
2013,02,1104,環球水泥,2465349,2226895,238454,--,--,238454,195132,--,43322,498046,541368,20903,520465,--,--,520465,277995,--,798460,516611,--,3854,794606,--,3854,0.86
2013,02,1108,幸福水泥,2325405,2033657,291748,0,0,291748,122188,0,169560,-31824,137736,31643,106093,0,--,106093,-10394,--,95699,115705,--,-9612,106403,--,-10704,0.29
2013,02,1109,信大水泥,1926413,1620100,306313,--,--,306313,213727,--,92586,32084,124670,17881,106789,--,--,106789,105422,--,212211,106585,--,204,172684,--,39527,0.25
2013,02,1110,東泥,947877,813607,134270,--,--,134270,27993,--,106277,-39806,66471,-11777,78248,--,--,78248,75315,--,153563,77791,--,457,153104,--,459,0.14
2013,02,1201,味全公司,14278478,9693214,4585264,--,--,4585264,3860875,--,724389,-5125,719264,262479,456785,--,--,456785,179541,--,636326,550094,--,-93309,715140,--,-78814,1.09
2013,02,1203,味王公司,3069522,2432007,637515,0,0,637515,422485,--,215030,45797,260827,48250,212577,0,--,212577,31548,--,244125,162412,--,50165,194455,--,49670,0.68
2013,02,1210,大成長城,42614910,39064742,3550168,--,--,3550168,3400348,--,149820,182249,332069,105025,227044,--,--,227044,624126,--,851170,278209,--,-51165,669875,--,181295,0.53
2013,02,1213,大飲,334011,281188,52823,--,--,52823,49691,--,3132,2223,5355,1667,3688,--,--,3688,90,--,3778,3688,--,--,3778,--,--,0.07
2013,02,1215,卜蜂企業,8584079,7927857,656222,--,--,656222,568553,7900,95569,20744,116313,39180,77133,--,--,77133,-432779,--,-355646,86766,--,-9633,-349616,--,-6030,0.37
2013,02,1216,統一,211179657,144833929,66345728,--,--,66345728,56167678,--,10178050,3600595,13778645,2919940,10858705,--,--,10858705,2177017,--,13035722,6516264,--,4342441,8415373,--,4620349,1.34
2013,02,1217,愛之味,2017125,1371150,645975,--,--,645975,642812,--,3163,11328,14491,9250,5241,0,--,5241,-20510,--,-15269,72,--,5169,-23286,--,8017,0.00
2013,02,1218,泰山企業,4758276,4201047,557229,328,-17,556884,632923,561,-75478,104998,29520,12544,16976,--,--,16976,11363,--,28339,16926,--,50,28289,--,50,0.05
2013,02,1219,福壽實業,5005816,4791892,213924,--,--,213924,281020,--,-67096,14979,-52117,-3200,-48917,--,--,-48917,-47,--,-48964,-44780,--,-4137,-44814,--,-4150,-0.14
2013,02,1220,台榮,1652613,1536039,116574,--,--,116574,98479,--,18095,7338,25433,4231,21202,--,--,21202,-8926,--,12276,27895,--,-6693,18487,--,-6211,0.16
2013,02,1225,福懋油,7146566,6838314,308252,180,--,308072,245575,-16,62481,-6990,55491,11087,44404,--,--,44404,12312,--,56716,45988,--,-1584,58300,--,-1584,0.24
2013,02,1227,佳格,9517659,6756917,2760742,--,--,2760742,1628240,--,1132502,122478,1254980,219655,1035325,--,--,1035325,148179,--,1183504,1036938,--,-1613,1185123,--,-1619,1.58
2013,02,1229,聯華實業,2582639,2321965,260674,--,--,260674,182662,--,78012,543967,621979,63679,558300,--,--,558300,-998603,--,-440303,565418,0,-7118,-437384,0,-2919,0.66
2013,02,1231,聯華食品,2654544,1984401,670143,--,--,670143,531917,--,138226,61244,199470,39904,159566,--,--,159566,8696,--,168262,161381,--,-1815,167880,--,382,1.32
2013,02,1232,大統益,9864364,9220840,643524,--,--,643524,245365,--,398159,74362,472521,75216,397305,--,--,397305,-787,--,396518,394014,--,3291,393227,--,3291,2.46
2013,02,1233,天仁,999399,390328,609071,--,--,609071,482376,--,126695,17521,144216,24594,119622,0,--,119622,-38520,--,81102,119165,--,457,81219,--,-117,1.32
2013,02,1234,黑松,3193569,2376142,817427,--,--,817427,849202,--,-31775,254558,222783,638923,-416140,0,--,-416140,5816,--,-410324,-416140,--,--,-410324,--,--,-0.78
2013,02,1235,興泰,129886,124805,5081,--,--,5081,15981,--,-10900,-35958,-46858,2651,-49509,--,--,-49509,-15006,--,-64515,-49315,--,-194,-64321,--,-194,-0.91
2013,02,1236,宏亞食品,1206663,890886,315777,0,0,315777,260150,0,55627,4933,60560,10555,50005,--,--,50005,1768,--,51773,50005,--,--,51773,--,--,0.46
2013,02,1256,F-鮮活,809328,573820,235508,--,--,235508,92316,--,143192,8574,151766,45178,106588,--,--,106588,22990,--,129578,106431,--,157,129328,--,250,6.03
2013,02,1301,台塑,106334321,98980309,7354012,--,--,7354012,5537400,--,1816612,7999227,9815839,1213009,8602830,--,--,8602830,24242559,--,32845389,8602830,--,--,32845389,--,--,1.35
2013,02,1303,南亞塑膠,148299712,132831221,15468491,1019,0,15467472,8704205,--,6763267,6483208,13246475,2556289,10690186,--,--,10690186,9855989,--,20546175,10807576,--,-117390,20663565,--,-117390,1.36
2013,02,1304,台聚,28107791,25821622,2286169,--,--,2286169,1601285,-7104,677780,558119,1235899,194081,1041818,-8297,--,1033521,349967,--,1383488,460136,--,573385,608390,--,775098,0.44
2013,02,1305,華夏,7190284,6115826,1074458,--,--,1074458,541248,-7104,526106,103756,629862,102202,527660,-8297,--,519363,19851,--,539214,481212,--,38151,501107,--,38107,1.07
2013,02,1307,三芳化工,5139811,3941006,1198805,--,--,1198805,755715,--,443090,69337,512427,154630,357797,6509,--,364306,171674,--,535980,364306,--,--,535980,--,--,1.03
2013,02,1308,亞聚,2576827,2392817,184010,--,--,184010,101155,--,82855,234405,317260,28491,288769,--,--,288769,-325452,--,-36683,288769,--,--,-36683,--,--,0.61
2013,02,1309,台達化工,10143124,9877205,265919,--,--,265919,316063,--,-50144,146139,95995,-8990,104985,--,--,104985,35901,--,140886,104985,0,0,140886,--,--,0.32
2013,02,1310,台苯,10485086,9957582,527504,--,--,527504,215887,--,311617,-69907,241710,2046,239664,--,--,239664,323544,--,563208,250117,--,-10453,565991,--,-2783,0.50
2013,02,1312,國喬石化,13074964,11569556,1505408,--,--,1505408,592122,--,913286,124810,1038096,209687,828409,--,--,828409,625495,--,1453904,719206,--,109203,1197020,--,256884,0.79
2013,02,1313,聯成,25224455,24732313,492142,--,--,492142,761491,--,-269349,405597,136248,-17183,153431,--,--,153431,686722,--,840153,157584,-4153,--,841999,--,-1846,0.14
2013,02,1314,中石化,16998867,17401170,-402303,0,1180,-401123,575529,--,-976652,131546,-845106,28079,-873185,--,--,-873185,99593,--,-773592,-859979,--,-13206,-760284,--,-13308,-0.37
2013,02,1315,達新工業,1419463,1175959,243504,--,--,243504,264185,--,-20681,63458,42777,-12473,55250,--,--,55250,209706,--,264956,58772,--,-3522,267846,--,-2890,0.28
2013,02,1316,上曜,684371,509546,174825,--,--,174825,244114,--,-69289,-7131,-76420,2982,-79402,--,--,-79402,11635,--,-67767,-84144,--,4742,-79504,--,11737,-1.06
2013,02,1319,東陽,9514725,7297853,2216872,--,1847,2218719,1484678,--,734041,184314,918355,174843,743512,--,--,743512,293178,--,1036690,719471,--,24041,950546,--,86144,1.26
2013,02,1321,大洋,2850469,2688223,162246,--,--,162246,195434,--,-33188,42025,8837,23,8814,--,--,8814,54860,--,63674,8814,--,--,63674,--,--,0.04
2013,02,1323,永裕,1587193,1190940,396253,--,--,396253,196292,-55,199906,9087,208993,62908,146085,0,--,146085,37314,--,183399,119230,--,26855,156953,--,26446,1.45
2013,02,1324,地球工業,746786,624539,122247,--,--,122247,95407,--,26840,5076,31916,5242,26674,--,--,26674,17968,--,44642,26674,--,0,44642,--,0,0.36
2013,02,1325,恒大,517541,447346,70195,--,--,70195,33405,--,36790,13727,50517,10913,39604,--,--,39604,14925,--,54529,40424,--,-820,50034,--,4495,0.40
2013,02,1326,台化,218103447,200822309,17281138,--,--,17281138,6667915,--,10613223,4911436,15524659,2399510,13125149,--,--,13125149,15079724,--,28204873,12183131,--,942018,28854112,--,-649239,2.09
2013,02,1337,F-再生,2657665,1687759,969906,--,--,969906,194803,--,775103,58747,833850,226130,607720,--,--,607720,378645,--,986365,607720,--,--,986365,--,--,3.04
2013,02,1338,F-廣華,3087070,2450379,636691,--,--,636691,517174,--,119517,55722,175239,33315,141924,--,--,141924,204795,--,346719,140155,--,1769,343657,--,3062,1.79
2013,02,1339,昭輝,621327,410559,210768,--,--,210768,90191,--,120577,29142,149719,30733,118986,--,--,118986,--,--,118986,--,--,--,--,--,--,1.80
2013,02,1340,F-勝悅,1152083,743463,408620,--,--,408620,49220,--,359400,-9884,349516,58273,291243,--,--,291243,96825,--,388068,291243,--,0,388068,--,0,4.36
2013,02,1402,遠東新,118701036,96179955,22521081,--,277,22521358,15955160,--,6566198,2363918,8930116,1428714,7501402,--,--,7501402,1850453,--,9351855,3906054,--,3595348,5385836,--,3966019,0.83
