年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,02,1101,台泥,58589686,46584312,12005374,--,--,12005374,2382833,--,9622541,214502,9837043,2217113,7619930,--,--,7619930,-2554883,--,5065047,5028885,--,2591045,3260281,--,1804766,1.36
2014,02,1102,亞泥,37450912,31932192,5518720,803,0,5517917,1364110,--,4153807,2742099,6895906,1017234,5878672,--,--,5878672,-3143704,--,2734968,5174629,--,704043,2120997,--,613971,1.68
2014,02,1103,嘉泥,1909502,1777842,131660,--,--,131660,247606,--,-115946,146465,30519,18931,11588,--,--,11588,-1377598,--,-1366010,-3722,--,15310,-1336624,--,-29386,-0.01
2014,02,1104,環球水泥,2835547,2584642,250905,--,--,250905,162154,--,88751,655928,744679,58815,685864,--,--,685864,80641,--,766505,687639,--,-1775,768280,--,-1775,1.12
2014,02,1108,幸福水泥,2495607,2130219,365388,0,0,365388,129813,0,235575,27384,262959,44041,218918,0,--,218918,3809,--,222727,224575,--,-5657,225801,--,-3074,0.55
2014,02,1109,信大水泥,2685148,2083070,602078,--,--,602078,257841,--,344237,-11328,332909,80675,252234,--,--,252234,-70707,--,181527,197217,--,55017,145609,--,35918,0.47
2014,02,1110,東泥,1004310,878576,125734,--,--,125734,32230,--,93504,10600,104104,-658,104762,--,--,104762,164826,--,269588,104476,--,286,269304,--,284,0.18
2014,02,1201,味全公司,13996768,9716022,4280746,--,--,4280746,3520705,--,760041,-141272,618769,241110,377659,--,--,377659,-60198,--,317461,431878,--,-54219,377206,--,-59745,0.85
2014,02,1203,味王公司,3076899,2321377,755522,0,0,755522,431477,--,324045,-6913,317132,98282,218850,0,--,218850,99729,--,318579,153284,--,65566,241647,--,76932,0.64
2014,02,1210,大成長城,44414706,40162104,4252602,--,--,4252602,3385294,--,867308,78867,946175,195347,750828,--,--,750828,379909,--,1130737,671010,--,79818,1069533,--,61204,1.28
2014,02,1213,大飲,324209,278251,45958,--,--,45958,40534,--,5424,1085,6509,2992,3517,--,--,3517,-3,--,3514,3517,--,--,3514,--,--,0.07
2014,02,1215,卜蜂企業,8467621,7457874,1009747,--,--,1009747,551466,6379,464660,26104,490764,98186,392578,--,--,392578,-255854,--,136724,382059,--,10519,126619,--,10105,1.65
2014,02,1216,統一,214454670,146222519,68232151,--,--,68232151,57557651,--,10674500,3208464,13882964,2478506,11404458,--,--,11404458,-1843182,--,9561276,7258373,--,4146085,6101150,--,3460126,1.41
2014,02,1217,愛之味,1956775,1405180,551595,--,--,551595,814702,--,-263107,-38710,-301817,10015,-311832,0,--,-311832,-26622,--,-338454,-276179,--,-35653,-296479,--,-41975,-0.57
2014,02,1218,泰山企業,4438100,3809045,629055,610,410,628855,730402,--,-101547,106352,4805,2180,2625,--,--,2625,16577,--,19202,2577,--,48,19154,--,48,0.01
2014,02,1219,福壽實業,5065899,4720093,345806,--,--,345806,307115,--,38691,21191,59882,8639,51243,--,--,51243,-1538,--,49705,52459,--,-1216,52392,--,-2687,0.17
2014,02,1220,台榮,1560178,1416376,143802,--,--,143802,103689,--,40113,6136,46249,7890,38359,--,--,38359,-5635,--,32724,40301,--,-1942,34651,--,-1927,0.23
2014,02,1225,福懋油,6047932,5709418,338514,186,--,338328,259042,-3925,75361,-21980,53381,9710,43671,--,--,43671,-602,--,43069,36347,--,7324,35745,--,7324,0.18
2014,02,1227,佳格,9927834,7237313,2690521,--,--,2690521,1647174,--,1043347,12452,1055799,186624,869175,--,--,869175,-6808,--,862367,865691,--,3484,858876,--,3491,1.21
2014,02,1229,聯華實業,2577944,2271524,306420,--,--,306420,204781,--,101639,1083296,1184935,67003,1117932,--,--,1117932,256236,--,1374168,1129532,--,-11600,1387429,--,-13261,1.32
2014,02,1231,聯華食品,2669995,2131267,538728,0,0,538728,504624,--,34104,17016,51120,8654,42466,--,--,42466,-1270,--,41196,43656,--,-1190,42485,--,-1289,0.33
2014,02,1232,大統益,10929840,10143696,786144,--,--,786144,277807,--,508337,27627,535964,97283,438681,--,--,438681,3209,--,441890,436031,--,2650,439240,--,2650,2.73
2014,02,1233,天仁,1070558,425737,644821,--,--,644821,504216,--,140605,19574,160179,25902,134277,--,--,134277,-48839,--,85438,132291,0,1986,83297,--,2141,1.46
