年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,01,1101,台泥,26716227,21852093,4864134,--,--,4864134,1179910,--,3684224,-133378,3550846,759611,2791235,--,--,2791235,1841792,--,4633027,1833139,--,958096,4015175,--,617852,0.50
2014,01,1102,亞泥,16256080,14017994,2238086,358,0,2237728,600109,--,1637619,376460,2014079,330848,1683231,--,--,1683231,-362929,--,1320302,1439813,--,243418,873472,--,446830,0.47
2014,01,1103,嘉泥,1019429,961066,58363,--,--,58363,100950,--,-42587,798,-41789,-7585,-34204,--,--,-34204,530985,--,496781,-39384,--,5180,469716,--,27065,-0.06
2014,01,1104,環球水泥,1379161,1243559,135602,--,--,135602,88248,--,47354,204613,251967,11138,240829,--,--,240829,130677,--,371506,239661,--,1168,370338,--,1168,0.40
2014,01,1108,幸福水泥,1219347,1052909,166438,0,0,166438,63469,0,102969,-16590,86379,17869,68510,0,--,68510,12131,--,80641,73015,--,-4505,82881,--,-2240,0.18
2014,01,1109,信大水泥,1192024,932059,259965,--,--,259965,118722,--,141243,-5246,135997,28994,107003,0,--,107003,-10317,--,96686,85720,--,21283,78882,--,17804,0.20
2014,01,1110,東泥,495721,423693,72028,--,--,72028,17106,--,54922,6768,61690,-6483,68173,0,--,68173,83549,--,151722,67967,--,206,151517,--,205,0.12
2014,01,1201,味全公司,6611781,4551910,2059871,--,--,2059871,1662851,--,397020,-74415,322605,84384,238221,--,--,238221,-14544,--,223677,256386,--,-18165,243315,--,-19638,0.51
2014,01,1203,味王公司,1498954,1119594,379360,0,0,379360,202169,--,177191,-956,176235,48365,127870,0,--,127870,96724,--,224594,85357,--,42513,134380,--,90214,0.36
2014,01,1210,大成長城,21742705,19579545,2163160,--,--,2163160,1737402,--,425758,47587,473345,105934,367411,--,--,367411,272946,--,640357,356947,--,10464,528667,--,111690,0.68
2014,01,1213,大飲,166032,141713,24319,--,--,24319,18590,--,5729,934,6663,2883,3780,--,--,3780,3,--,3783,3780,--,--,3783,--,--,0.07
2014,01,1215,卜蜂企業,4158339,3660679,497660,--,--,497660,269280,11382,239762,8717,248479,41867,206612,--,--,206612,-171560,--,35052,202586,--,4026,30117,--,4935,0.87
2014,01,1216,統一,108631630,74481789,34149841,--,--,34149841,28622997,--,5526844,2190253,7717097,1180835,6536262,--,--,6536262,-631163,--,5905099,4161367,--,2374895,4039305,--,1865794,0.81
2014,01,1217,愛之味,853255,634952,218303,--,--,218303,367903,--,-149600,-19892,-169492,-11582,-157910,--,--,-157910,-1964,--,-159874,-136878,--,-21032,-137653,--,-22221,-0.28
2014,01,1218,泰山企業,2100231,1776178,324053,1107,410,323356,342161,0,-18805,44921,26116,2060,24056,--,--,24056,18850,--,42906,24000,--,56,42850,--,56,0.07
2014,01,1219,福壽實業,2459447,2269817,189630,--,--,189630,151733,--,37897,12896,50793,7748,43045,--,--,43045,62,--,43107,43389,--,-344,43434,--,-327,0.14
2014,01,1220,台榮,752609,676842,75767,--,--,75767,48878,--,26889,1149,28038,4260,23778,--,--,23778,1479,--,25257,21153,--,2625,22719,--,2538,0.12
2014,01,1225,福懋油,2937279,2746084,191195,282,--,190913,130296,-129,60488,-12506,47982,8607,39375,--,--,39375,5081,--,44456,35292,--,4083,40373,--,4083,0.18
2014,01,1227,佳格,5307080,3883952,1423128,--,--,1423128,772295,--,650833,5345,656178,114013,542165,--,--,542165,56595,--,598760,539088,--,3077,595676,--,3084,0.82
2014,01,1229,聯華實業,1245028,1090896,154132,--,--,154132,102329,--,51803,625295,677098,16266,660832,--,--,660832,242319,--,903151,666867,--,-6035,909474,--,-6323,0.78
2014,01,1231,聯華食品,1290135,1013125,277010,0,0,277010,266495,--,10515,13019,23534,-3079,26613,--,--,26613,1600,--,28213,25828,--,785,27303,--,910,0.20
2014,01,1232,大統益,5526932,5074869,452063,--,--,452063,141142,--,310921,39998,350919,60263,290656,--,--,290656,-1091,--,289565,289066,--,1590,287975,--,1590,1.81
2014,01,1233,天仁,556674,214911,341763,--,--,341763,253193,--,88570,11711,100281,15704,84577,0,--,84577,-26012,--,58565,83060,--,1517,56882,--,1683,0.92
2014,01,1234,黑松,1269748,929557,340191,--,--,340191,395183,--,-54992,139446,84454,20168,64286,0,--,64286,-3614,--,60672,64286,--,--,60672,--,--,0.16
2014,01,1235,興泰,37669,35296,2373,--,--,2373,6261,--,-3888,31552,27664,-48,27712,--,--,27712,119387,--,147099,27812,--,-100,147199,--,-100,0.51
2014,01,1236,宏亞食品,661979,494232,167747,--,--,167747,141122,--,26625,5779,32404,9161,23243,--,--,23243,332799,--,356042,23243,--,0,356042,--,0,0.21
2014,01,1256,F-鮮活,431753,296450,135303,--,--,135303,48832,--,86471,-140,86331,29604,56727,--,--,56727,-3323,--,53404,56591,--,136,53278,--,126,3.21
2014,01,1262,F-綠悅,1528951,1009268,519683,--,--,519683,81865,--,437818,22146,459964,108623,351341,--,--,351341,58263,--,409604,351341,--,0,409604,--,0,2.65
2014,01,1301,台塑,51989871,48208250,3781621,--,--,3781621,2691717,--,1089904,6913342,8003246,790637,7212609,--,--,7212609,-4910077,--,2302532,7212609,--,--,2302532,--,--,1.13
2014,01,1303,南亞塑膠,77473959,70529634,6944325,1759,--,6942566,4354253,--,2588313,7869904,10458217,1082617,9375600,--,--,9375600,-664398,--,8711202,9339664,--,35936,8675266,--,35936,1.18
2014,01,1304,台聚,13711750,12639505,1072245,--,--,1072245,781815,-2725,287705,-34406,253299,64013,189286,-7838,--,181448,137441,--,318889,140727,--,40721,202660,--,116229,0.14
2014,01,1305,華夏,3528563,3093948,434615,--,--,434615,255458,-2725,176432,17869,194301,24559,169742,-7838,--,161904,4728,--,166632,154040,--,7864,158807,--,7825,0.34
2014,01,1307,三芳化工,2825940,2117296,708644,--,--,708644,430084,--,278560,27342,305902,41152,264750,0,--,264750,106791,--,371541,264750,--,--,371541,--,--,0.73
2014,01,1308,亞聚,1344360,1189248,155112,--,--,155112,44287,0,110825,16461,127286,22110,105176,--,--,105176,-116704,--,-11528,105176,--,--,-11528,--,--,0.22
2014,01,1309,台達化工,4363504,4369599,-6095,--,--,-6095,167207,--,-173302,-47044,-220346,-7486,-212860,--,--,-212860,-4486,--,-217346,-212860,--,--,-217346,--,--,-0.65
2014,01,1310,台苯,5258276,5164364,93912,0,0,93912,87838,0,6074,9427,15501,2743,12758,--,--,12758,-88178,--,-75420,12311,--,447,-77393,--,1973,0.02
2014,01,1312,國喬石化,6201713,5730792,470921,--,--,470921,285391,--,185530,8094,193624,37415,156209,--,--,156209,-172314,--,-16105,131043,--,25166,18195,--,-34300,0.14
2014,01,1313,聯成,13147837,12837671,310166,--,--,310166,382944,--,-72778,-150433,-223211,-61541,-161670,--,--,-161670,139135,--,-22535,-161020,--,-650,-22127,--,-408,-0.14
2014,01,1314,中石化,9122934,9004890,118044,--,474,118518,278824,--,-160306,-33700,-194006,16892,-210898,--,--,-210898,-45642,--,-256540,-209913,--,-985,-255413,--,-1127,-0.09
2014,01,1315,達新工業,631838,527010,104828,--,--,104828,118519,--,-13691,14987,1296,4387,-3091,--,--,-3091,-140684,--,-143775,105,--,-3196,-140542,--,-3233,0.00
2014,01,1316,上曜,245207,203762,41445,--,--,41445,71256,--,-29811,-325,-30136,3729,-33865,--,--,-33865,3658,--,-30207,-45692,--,11827,-43726,--,13519,-0.36
2014,01,1319,東陽,5200849,3993156,1207693,--,145,1207838,867129,--,340709,139909,480618,75933,404685,--,--,404685,-16711,--,387974,396856,--,7829,389342,--,-1368,0.67
2014,01,1321,大洋,1291037,1216439,74598,--,--,74598,93575,--,-18977,20423,1446,0,1446,--,--,1446,-2846,--,-1400,1446,--,--,-1400,--,--,0.01
2014,01,1323,永裕,823477,621891,201586,--,--,201586,108623,79,93042,11613,104655,29006,75649,--,--,75649,12659,--,88308,58604,--,17045,71036,--,17272,0.68
2014,01,1324,地球工業,376564,312815,63749,--,--,63749,49471,--,14278,4237,18515,3365,15150,--,--,15150,-1071,--,14079,15150,--,--,14079,--,--,0.20
2014,01,1325,恒大,292973,260307,32666,--,--,32666,17843,--,14823,10410,25233,4256,20977,--,--,20977,4867,--,25844,20951,--,26,24440,--,1404,0.21
2014,01,1326,台化,100960296,95975080,4985216,--,--,4985216,3296632,--,1688584,5359882,7048466,731562,6316904,--,--,6316904,-4970086,--,1346818,5679397,--,637507,1465677,--,-118859,0.97
2014,01,1337,F-再生,1220099,758476,461623,--,--,461623,109804,--,351819,56642,408461,102514,305947,--,--,305947,-40236,--,265711,305947,--,--,265711,--,--,1.53
2014,01,1338,F-廣華,1924954,1495845,429109,--,--,429109,252971,--,176138,-6601,169537,42954,126583,--,--,126583,-26287,--,100296,126565,--,18,100417,--,-121,1.62
2014,01,1339,昭輝,360719,220116,140603,--,--,140603,51301,--,89302,10257,99559,16926,82633,--,--,82633,-192,--,82441,--,--,--,--,--,--,1.25
2014,01,1340,F-勝悅,517764,337070,180694,--,--,180694,32576,--,148118,74516,222634,32697,189937,--,--,189937,-9930,--,180007,189937,--,--,180007,--,--,2.39
