年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,03,1101,台泥,82891070,67090700,15800370,--,--,15800370,3274015,--,12526355,941629,13467984,2321593,11146391,--,--,11146391,1488481,--,12634872,7594015,--,3552376,7886350,--,4748522,2.06
2013,03,1102,亞泥,49722594,44381623,5340971,1,0,5340970,1694425,--,3646545,2832807,6479352,811724,5667628,--,--,5667628,-554256,--,5113372,4755922,--,911706,3680142,--,1433230,1.54
2013,03,1103,嘉泥,2738060,2777167,-39107,--,--,-39107,310079,--,-349186,536310,187124,-5858,192982,--,--,192982,948404,--,1141386,237079,--,-44097,1129199,--,12187,0.37
2013,03,1104,環球水泥,3760641,3406439,354202,--,--,354202,288045,--,66157,712871,779028,20031,758997,--,--,758997,220307,--,979304,754850,--,4147,975157,--,4147,1.25
2013,03,1108,幸福水泥,3521208,3073807,447401,--,--,447401,193901,--,253500,-48262,205238,46129,159109,--,--,159109,-10116,--,148993,171007,--,-11898,161704,--,-12711,0.42
2013,03,1109,信大水泥,2911968,2501893,410075,--,--,410075,302914,--,107161,37682,144843,23903,120940,--,--,120940,84772,--,205712,127657,--,-6717,181772,--,23940,0.30
2013,03,1110,東泥,1448873,1250076,198797,--,--,198797,41694,--,157103,14680,171783,-15497,187280,--,--,187280,129979,--,317259,186606,--,674,316582,--,677,0.33
2013,03,1201,味全公司,22540133,15258259,7281874,--,--,7281874,6157767,--,1124107,-44284,1079823,375927,703896,--,--,703896,131067,--,834963,832048,--,-128152,952033,--,-117070,1.64
2013,03,1203,味王公司,4662513,3658878,1003635,0,0,1003635,639028,--,364607,50526,415133,79745,335388,0,--,335388,1054,--,336442,258761,--,76627,282364,--,54078,1.09
2013,03,1210,大成長城,65599619,59973593,5626026,--,--,5626026,5092552,--,533474,299693,833167,183037,650130,--,--,650130,473531,--,1123661,610112,--,40018,912369,--,211292,1.16
2013,03,1213,大飲,591595,496244,95351,--,--,95351,67790,--,27561,2583,30144,5437,24707,--,--,24707,72,--,24779,24707,--,--,24779,--,--,0.48
2013,03,1215,卜蜂企業,13404792,12255059,1149733,--,--,1149733,874610,9229,284352,28915,313267,71726,241541,--,--,241541,-577100,--,-335559,247527,--,-5986,-332649,--,-2910,1.07
2013,03,1216,統一,325527671,223906742,101620929,--,--,101620929,86545989,--,15074940,6339349,21414289,4036550,17377739,--,--,17377739,568689,--,17946428,10976532,--,6401207,11392242,--,6554186,2.13
2013,03,1217,愛之味,3564792,2436856,1127936,--,--,1127936,1074837,--,53099,-122873,-69774,9542,-79316,0,--,-79316,6856,--,-72460,-84632,--,5316,-82641,--,10181,-0.17
2013,03,1218,泰山企業,7221061,6234022,987039,37,-17,986985,1117482,1212,-129285,219994,90709,17431,73278,--,--,73278,3869,--,77147,73123,--,155,76992,--,155,0.22
2013,03,1219,福壽實業,7727851,7369599,358252,--,--,358252,429879,--,-71627,25393,-46234,-2832,-43402,--,--,-43402,160,--,-43242,-38035,--,-5367,-37918,--,-5324,-0.12
2013,03,1220,台榮,2615577,2404770,210807,--,--,210807,146801,--,64006,10917,74923,10160,64763,--,--,64763,8736,--,73499,61480,--,3283,69776,--,3723,0.35
2013,03,1225,福懋油,10606966,10152084,454882,148,--,454734,373951,20,80803,-25280,55523,16403,39120,--,--,39120,8790,--,47910,36108,--,3012,44898,--,3012,0.19
2013,03,1227,佳格,15090860,10842867,4247993,--,--,4247993,2631458,--,1616535,132953,1749488,309202,1440286,--,--,1440286,117800,--,1558086,1438717,--,1569,1556522,--,1564,2.19
2013,03,1229,聯華實業,3926563,3517291,409272,--,--,409272,275409,--,133863,903021,1036884,68761,968123,--,--,968123,-128414,--,839709,980359,--,-12236,848714,--,-9005,1.15
2013,03,1231,聯華食品,4019155,3011961,1007194,--,--,1007194,818468,--,188726,82463,271189,52292,218897,--,--,218897,6716,--,225613,221087,--,-2190,225761,--,-148,1.67
2013,03,1232,大統益,14700294,13793301,906993,--,--,906993,370944,--,536049,63491,599540,96809,502731,--,--,502731,-1695,--,501036,497927,--,4804,496232,--,4804,3.11
2013,03,1233,天仁,1531201,600263,930938,--,--,930938,736184,--,194754,25996,220750,37083,183667,0,--,183667,-32373,--,151294,182764,--,903,151108,--,186,2.03
2013,03,1234,黑松,5321800,3832335,1489465,--,--,1489465,1363257,--,126208,388174,514382,691542,-177160,0,--,-177160,4918,--,-172242,-177160,--,--,-172242,--,--,-0.34
2013,03,1235,興泰,189862,176936,12926,0,0,12926,22693,--,-9767,-26536,-36303,2746,-39049,--,--,-39049,2728,--,-36321,-38760,--,-289,-36032,--,-289,-0.72
2013,03,1236,宏亞食品,1860306,1347639,512667,--,--,512667,412992,--,99675,-43685,55990,3303,52687,--,--,52687,41377,--,94064,52687,--,0,94064,--,--,0.49
2013,03,1256,F-鮮活,1368112,963952,404160,--,--,404160,153826,--,250334,10947,261281,82815,178466,--,--,178466,16701,--,195167,178088,--,378,194720,--,447,10.10
2013,03,1262,F-綠悅,3757850,2530048,1227802,--,--,1227802,228446,--,999356,-55612,943744,150721,793023,--,--,793023,67488,--,860511,793023,--,--,860511,--,--,7.37
2013,03,1301,台塑,159479008,148436393,11042615,--,--,11042615,8367251,--,2675364,14104640,16780004,1693080,15086924,--,--,15086924,18342899,--,33429823,15086924,--,--,33429823,--,--,2.37
2013,03,1303,南亞塑膠,230543005,205873118,24669887,6438,0,24663449,13301119,--,11362330,11397733,22760063,4063497,18696566,--,--,18696566,10341510,--,29038076,18868859,--,-172293,29210369,--,-172293,2.38
2013,03,1304,台聚,43606581,40131095,3475486,--,--,3475486,2428552,-10067,1036867,616056,1652923,255516,1397407,-14020,--,1383387,75715,--,1459102,654322,--,729065,696098,--,763004,0.63
2013,03,1305,華夏,10716809,9181795,1535014,--,--,1535014,803901,-10067,721046,84840,805886,132281,673605,-14020,--,659585,19685,--,679270,610359,--,49226,630056,--,49214,1.36
