年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,01,1101,台泥,24114047,20990175,3123872,--,--,3123872,1097143,--,2026729,314060,2340789,341165,1999624,--,--,1999624,1284445,--,3284069,1413035,--,586589,1911110,--,1372959,0.38
2013,01,1102,亞泥,13931550,13039407,892143,0,37,892180,552379,--,339801,1250044,1589845,218286,1371559,--,--,1371559,-125038,--,1246521,1213452,--,158107,718662,--,527859,0.40
2013,01,1103,嘉泥,741189,786094,-44905,--,--,-44905,104906,--,-149811,183613,33802,-25835,59637,--,--,59637,-47330,--,12307,82329,--,-22692,28882,--,-16575,0.13
2013,01,1104,環球水泥,1248072,1126012,122060,--,--,122060,91813,--,30247,156012,186259,2818,183441,--,--,183441,295534,--,478975,181173,--,2268,476706,--,2269,0.30
2013,01,1108,幸福水泥,1203671,1051860,151811,0,0,151811,53588,0,98223,-13612,84611,20742,63869,0,--,63869,8578,--,72447,69554,--,-5685,79103,--,-6656,0.17
2013,01,1109,信大水泥,916242,789963,126279,0,0,126279,90360,--,35919,7715,43634,8544,35090,0,--,35090,47548,--,82638,37666,--,-2576,85214,--,-2576,0.09
2013,01,1110,東泥,460227,393630,66597,--,--,66597,14802,--,51795,7706,59501,-1596,61097,--,--,61097,121136,--,182233,60801,--,296,181938,--,295,0.11
2013,01,1201,味全公司,6700847,4526429,2174418,--,--,2174418,1797632,--,376786,-25129,351657,104543,247114,--,--,247114,97035,--,344149,293183,--,-46069,390218,--,-46069,0.58
2013,01,1203,味王公司,1643325,1305256,338069,0,0,338069,205433,--,132636,8902,141538,21338,120200,0,--,120200,103823,--,224023,83740,--,36460,146650,--,77373,0.35
2013,01,1210,大成長城,21357129,19418268,1938861,--,--,1938861,1687988,--,250873,87210,338083,46868,291215,--,--,291215,295849,--,587064,237726,--,53489,440629,--,146435,0.45
2013,01,1213,大飲,174683,144937,29746,--,--,29746,18082,--,11664,-454,11210,2308,8902,--,--,8902,49,--,8951,8902,--,--,8951,--,--,0.17
2013,01,1215,卜蜂企業,4380233,3999863,380370,--,--,380370,287088,4700,97982,-8828,89154,20329,68825,--,--,68825,101092,--,169917,71984,--,-3159,170827,--,-910,0.31
2013,01,1216,統一,104634790,71828145,32806645,--,--,32806645,27047549,--,5759096,1223048,6982144,1242344,5739800,--,--,5739800,1719752,--,7459552,3639790,--,2100010,5063518,--,2396034,0.75
2013,01,1217,愛之味,886485,607228,279257,--,--,279257,291457,--,-12200,39278,27078,14298,12780,--,--,12780,14924,--,27704,17516,--,-4736,29708,--,-2004,0.04
2013,01,1218,泰山企業,2371390,2090365,281025,17,-243,280765,289035,--,-8270,7646,-624,268,-892,--,--,-892,12391,--,11499,-1762,--,870,10629,--,870,-0.01
2013,01,1219,福壽實業,2342164,2243553,98611,--,--,98611,138950,--,-40339,5580,-34759,-104,-34655,--,--,-34655,87,--,-34568,-33147,--,-1508,-33080,--,-1488,-0.11
2013,01,1220,台榮,810335,726907,83428,0,0,83428,57838,--,25590,7148,32738,693,32045,--,--,32045,-3660,--,28385,21013,--,11032,17561,--,10824,0.12
2013,01,1225,福懋油,3388530,3230847,157683,413,--,157270,119451,24,37843,-7422,30421,6128,24293,--,--,24293,8335,--,32628,25070,--,-777,33405,--,-777,0.13
2013,01,1227,佳格,5076330,3494148,1582182,--,--,1582182,832989,--,749193,93050,842243,142574,699669,--,--,699669,98957,--,798626,700663,--,-994,799617,--,-991,1.23
2013,01,1229,聯華實業,1254001,1121907,132094,--,--,132094,94053,--,38041,194172,232213,2564,229649,--,--,229649,343071,--,572720,233515,--,-3866,573814,--,-1094,0.27
2013,01,1231,聯華食品,1482501,1077644,404857,--,--,404857,287590,--,117267,16905,134172,22676,111496,--,--,111496,4822,--,116318,111987,--,-491,115006,--,1312,0.91
2013,01,1232,大統益,4882485,4549712,332773,--,--,332773,122421,--,210352,49243,259595,46987,212608,--,--,212608,3391,--,215999,210999,--,1609,214390,--,1609,1.32
2013,01,1233,天仁,532755,207591,325164,--,--,325164,246196,--,78968,4005,82973,14301,68672,0,--,68672,-17175,--,51497,68521,--,151,51499,--,-2,0.76
2013,01,1234,黑松,1574855,1190684,384171,--,--,384171,379389,--,4782,123041,127823,25159,102664,0,--,102664,4629,--,107293,102664,--,--,107293,--,--,0.19
2013,01,1235,興泰,58082,57380,702,--,--,702,7905,--,-7203,-25086,-32289,2547,-34836,--,--,-34836,-8966,--,-43802,-34739,--,-97,-43705,--,-97,-0.64
2013,01,1236,宏亞食品,726305,513108,213197,--,--,213197,139152,--,74045,624,74669,11824,62845,--,--,62845,2780,--,65625,62845,--,0,65625,--,0,0.58
2013,01,1256,F-鮮活,341578,241853,99725,--,--,99725,41757,--,57968,7039,65007,19224,45783,--,--,45783,13853,--,59636,45710,--,73,59505,--,131,2.59
2013,01,1301,台塑,50044541,46944695,3099846,--,--,3099846,2560417,--,539429,5107975,5647404,147177,5500227,--,--,5500227,4611640,--,10111867,5500227,--,--,10111867,--,--,0.90
2013,01,1303,南亞塑膠,74265110,65959474,8305636,--,-8752,8296884,4171000,--,4125884,4078480,8204364,1265389,6938975,--,--,6938975,1589181,--,8528156,7030718,--,-91743,8619899,--,-91743,0.90
2013,01,1304,台聚,12701403,11537149,1164254,--,--,1164254,756350,-3198,404706,299394,704100,68460,635640,-5709,--,629931,363827,--,993758,282604,--,347327,490384,--,503374,0.27
2013,01,1305,華夏,3201923,2601766,600157,--,--,600157,250594,-3198,346365,68317,414682,56305,358377,-5709,--,352668,13513,--,366181,324554,--,28114,338092,--,28089,0.76
2013,01,1307,三芳化工,2605640,1985222,620418,--,--,620418,366285,--,254133,51374,305507,88783,216724,3586,--,220310,140198,--,360508,220310,--,--,360508,--,--,0.62
