年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2016,01,2025,千興,734230,767030,-32800,--,--,-32800,14215,-407,-47422,17604,-29818,0,-29818,--,--,-29818,-5722,--,-35540,-29818,--,0,-35540,--,0,-0.11
2016,01,2027,大成鋼,12467691,11166451,1301240,--,--,1301240,1313121,-130,-12011,-162273,-174284,-74895,-99389,--,--,-99389,-370759,--,-470148,-138284,--,38895,-447539,--,-22609,-0.18
2016,01,2028,威致鋼鐵,1261215,1278370,-17155,--,--,-17155,29239,--,-46394,-11098,-57492,--,-57492,--,--,-57492,--,--,-57492,--,--,--,--,--,--,-0.11
2016,01,2029,盛餘,2948859,2480862,467997,--,0,467997,152910,--,315087,-36528,278559,51265,227294,--,--,227294,-1906,--,225388,221449,--,5845,219680,--,5708,0.69
2016,01,2030,彰源,2558070,2279019,279051,--,--,279051,162272,--,116779,-43777,73002,15398,57604,--,--,57604,-32260,--,25344,57604,--,--,25344,--,--,0.21
2016,01,2031,新光鋼,1396297,1180103,216194,--,--,216194,64570,-13116,138508,152688,291196,43542,247654,--,--,247654,288062,--,535716,247683,--,-29,535778,--,-62,0.90
2016,01,2032,新鋼工業,672119,633126,38993,--,--,38993,29282,--,9711,2287,11998,1700,10298,--,--,10298,0,--,10298,--,--,--,--,--,--,0.08
2016,01,2033,佳大世界,193656,163406,30250,--,--,30250,21267,--,8983,-940,8043,1418,6625,--,--,6625,2983,--,9608,--,--,--,--,--,--,0.08
2016,01,2034,允強,3911339,3545049,366290,--,--,366290,161602,--,204688,-40079,164609,21804,142805,0,--,142805,3524,--,146329,142805,--,0,146329,--,0,0.39
2016,01,2038,海光企業,1086384,1060458,25926,--,--,25926,33789,--,-7863,10454,2591,335,2256,--,--,2256,--,--,2256,1545,--,711,1545,--,711,0.01
2016,01,2049,上銀科技,2984407,1969518,1014889,--,--,1014889,865720,--,149169,-45532,103637,32290,71347,--,--,71347,2767,--,74114,143751,--,-72404,146473,--,-72359,0.53
2016,01,2059,川湖,980434,406578,573856,--,--,573856,137599,--,436257,-127435,308822,33486,275336,--,--,275336,-3284,--,272052,275336,--,--,272052,--,--,2.89
2016,01,2062,橋椿,1644102,1227401,416701,--,--,416701,195688,--,221013,45670,266683,51983,214700,--,--,214700,-40432,--,174268,214700,--,--,174268,--,--,1.32
