年,季,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,01,1409,新纖,9568620,9141108,427512,119650,307862,--,307862,491347,799209,195508,--,112354,649632,--,149577,0.11
2013,01,1718,中纖,8363585,6978192,1385393,121550,1263843,--,1263843,43747,1307590,673986,--,589857,768845,--,538745,0.60
2013,01,2514,龍邦國際,18644952,17643772,1001180,156199,844981,--,844981,-1277565,-432584,433141,--,411840,-181218,--,-251366,0.83
2013,01,2905,三商,49979710,49919632,60078,-162743,222821,--,222821,73295,296116,-39712,--,262533,134430,--,161686,-0.07
