公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"9102","東亞科",1828846,1596625,232221,259303,-27082,3931,5589,-28740,9792,-38532,0,0,0,-38532,-38078,-454,-0.08,SGD$ 1 : NT $ 22.72,資產負債表日台銀新加坡幣收盤買賣平均匯率
"910322","康師傅",46089934,32180392,13909542,8234578,5674964,514365,309668,5879661,1365428,4514233,0,0,0,4514233,3249038,1265195,0.58,US$1:NT$31.80,臺灣銀行99年3月31日即期匯率
"9105","泰金寶",27043162,26074503,968659,517035,451624,333569,82986,702207,31323,670884,0,0,0,670884,670884,0,0.17,0.99:1(THB:NT),財報日之匯率
"910579","歐聖",923445,107492,815953,302504,513449,11319,74806,449962,-4336,454298,0,0,0,454298,454298,0,0.23,RMB$1：NT$ 4.662,我國與十六個貿易對手通貨對美元之匯率
"911602","華豐泰國",483111,412247,70864,43338,27526,9182,1147,35561,8968,26593,0,0,0,26593,26593,0,0.04,Baht＄1：NT$0.97,99/3/31之匯率
"911606","超級集團",1854604,1121673,732931,394353,338578,56615,1590,393603,52912,340691,0,0,0,340691,334148,6543,0.62,SGD$1: NT$22.7188,99.3.31www.oanda.com網站公佈之匯率
"911609","揚子江",12534736,9616914,2917822,209757,2708065,777654,13793,3471926,724573,2747353,0,0,0,2747353,2747353,0,0.75,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率
"911610","聯合環境",513987,332389,181598,73729,107869,3632,3287,108214,11058,97156,0,0,0,97156,97156,0,0.22,SGD$1;NT$22.99,依臺灣銀行99.6.30即期匯率
"911612","滬安電力",1656222,1369519,286703,149578,137125,11351,26919,121557,31379,90178,0,0,0,90178,90178,0,0.17,4.6654,以99/3/31www.oanda.com網站公佈之匯率換算
"911616","杜康控股",578176,416403,161773,80296,81477,4924,903,85498,11360,74138,0,0,0,74138,74138,0,0.12,RMB$1:NT$4.654,2009年9月底
"911626","華運中國",619257,420967,198290,25336,172954,1524,931,173547,23414,150133,0,0,0,150133,150133,0,0.42,4.631,匯率係採用各該期期末之台灣銀行匯率
