年季,公司代號,公司名稱,現金及約當現金,應收款項,當期所得稅資產,待出售資產,投資,再保險合約資產,不動產及設備,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,資產總額,短期債務,應付款項,當期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,以成本衡量之金融負債,應付債券,特別股負債,其他金融負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,Unnamed: 46
2014/04,2816,旺旺保險,2855073.0,909928.0,10232.00,--,4721099.0,3655979.0,811159.0,130814.0,--,727444.0,--,13821728.0,--,1024563.0,--,--,--,--,--,--,--,--,8907997.0,74156.00,--,180839.0,63920.0,69987.0,--,10321462.0,2129600.0,0.0,1372496.0,-1830.0,--,--,--,--,--,3500266.0,0.0,0.0,0.0,16.44,
2014/04,2823,中壽,61223512.0,14384897.0,1326043.00,--,931542358.0,264209.0,6973988.0,53806.0,3235637.00,19091114.0,69172331.00,1107267895.0,--,9999089.0,--,--,5847792.00,--,--,--,--,0.00,934190724.0,0.00,5263545.00,266651.0,6738484.0,1464786.0,69172331.00,1032943402.0,30364970.0,4414821.0,27725274.0,11819428.0,--,--,--,--,--,74324493.0,0.0,0.0,0.0,24.48,
2014/04,2832,台產,2543153.0,869639.0,--,--,9718366.0,1988083.0,356219.0,3494.0,9068.00,1375691.0,--,16863713.0,--,761583.0,49840.00,--,--,--,--,--,--,--,7776309.0,--,--,47375.0,281476.0,709461.0,--,9626044.0,3638164.0,117725.0,3491760.0,-9980.0,--,--,--,--,--,7237669.0,0.0,0.0,0.0,19.89,
2014/04,2850,新產,5539886.0,2107486.0,--,--,12475691.0,5730707.0,1075370.0,38579.0,201429.00,776125.0,--,27945273.0,--,1757162.0,55008.00,--,13085.00,--,--,--,--,--,17711336.0,--,--,460671.0,66167.0,190943.0,--,20254372.0,3159633.0,63663.0,3490782.0,976823.0,0.00,--,--,--,--,7690901.0,0.0,0.0,0.0,24.34,
2014/04,2851,中再保,18430910.0,399901.0,133340.00,--,9909822.0,3859592.0,214772.0,1531.0,36423.00,1022876.0,--,34009167.0,--,577906.0,115627.00,--,66470.00,--,--,--,--,--,23664460.0,--,--,5778.0,77799.0,44211.0,--,24552251.0,5622750.0,300000.0,3369901.0,164265.0,--,--,--,--,--,9456916.0,0.0,0.0,0.0,16.82,
2014/04,2852,第一保,1086854.0,999526.0,--,--,8336693.0,1970320.0,616693.0,3909.0,48565.00,507826.0,--,13570386.0,--,764263.0,36288.00,--,--,--,--,--,--,--,7552790.0,--,--,189328.0,92934.0,29350.0,--,8664953.0,3011638.0,0.0,1887834.0,5961.0,--,--,--,--,--,4905433.0,0.0,0.0,0.0,16.29,
2014/04,2867,三商美邦,63726010.0,7337964.0,1125956.00,0.00,659888287.0,1601582.0,7846835.0,33921.0,1869831.00,4399334.0,54539224.00,802368944.0,0.00,12807320.0,0.00,0.00,8938988.00,0.00,0.00,5000000.00,2000000.00,0.00,682164848.0,4493761.00,1014429.00,1913097.0,2012050.0,1400036.0,54539224.00,776283753.0,13524566.0,1302783.0,11184833.0,73009.0,--,--,--,--,--,26085191.0,0.0,0.0,0.0,19.29,
