公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 保證責任準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 取得無形資產,　　 附賣回票券及債券投資減少,　　 其他資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 附買回票券及債券負債增加,　　 其他負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金
2849,2016年01月01日至2016年03月31日,,                201071,                              0,                201071,,,                 25125,                 10943,                765055,                 -5500,                756151,             -1685232,                  2793,                    -60,                     23,                              0,               -130702,,,              2963540,             -7370853,               -993255,              3448559,             11863580,                              0,              9911571,,             -3192160,               -411820,                -93851,             -2923294,                263689,             -6357436,              3554135,              3423433,              3624504,              1675824,               -680385,                -17236,              4602707,,                 -1041,                 -4899,               -822419,              2838275,              2009916,,             -7429003,                -20967,             -7449970,                -72099,               -909446,              5703982,              4794536,              4794536
2849,2015年01月01日至2015年03月31日,,                666467,                              0,                666467,,,                 24441,                 11170,                348144,                 81641,                833043,             -1848443,                 13312,                    -76,                    849,                -24769,               -560688,,,              3995616,                 58755,             -1118727,             -1149573,             -3222124,               -182894,             -1618947,,                -78824,                308138,                 69549,             -4094070,                160278,             -3634929,             -5253876,             -5814564,             -5148097,              1830386,               -718320,                     -5,             -4036036,,                -32395,                 -3699,                580474,               -568163,                -23783,,              2101503,                 44350,              2145853,                -62242,             -1976208,              7567361,              5591153,              5591153
