公司代號,公司名稱,營業收入,營業成本,營業毛利(毛損),營業費用,營業淨利(淨損),營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利(淨損),所得稅費用(利益),繼續營業單位淨利(淨損),停業單位損益,非常損益,會計原則變動累積影響數,合併總損益,合併淨損益,共同控制下前手權益損益,少數股權損益,基本每股盈餘
"1101","台泥",57200886,49619495,7581391,2218827,5362564,2484466,2123536,5723494,813957,4909537,0,0,0,4909537,3934290,0,975247,1.07
"1102","亞泥",30093890,27551489,2542401,997642,1543750,4183201,1085547,4641404,344206,4297198,0,0,0,4297198,4088766,0,208432,1.27
"1103","嘉泥",2338591,2223990,114601,225564,-110963,428912,282695,35254,16691,18563,0,0,0,18563,11361,0,7202,0.02
"1104","環球水泥",2286817,2104692,182125,191875,-9750,432672,6946,415976,2558,413418,0,0,0,413418,410381,0,3037,0.68
"1108","幸福水泥",2000980,1841719,159261,158958,303,215253,54807,160749,21641,139108,0,0,0,139108,139782,0,-674,0.35
"1109","信大水泥",1747068,1589604,157464,125117,32347,25815,37872,20290,11366,8924,0,0,0,8924,26368,0,-17444,0.06
"1110","東泥",724865,658138,66727,32365,34362,83730,3037,115055,17156,97899,0,0,0,97899,97536,0,363,0.17
"1201","味全公司",13829970,8670601,5159369,4530172,629197,106893,144595,591495,233627,357868,0,0,0,357868,423714,0,-65846,0.84
"1203","味王公司",3124054,2555401,568653,406680,161973,32645,113542,81076,26937,54139,0,0,0,54139,39154,0,14985,0.16
"1210","大成長城",42134431,38574973,3559458,2894628,664830,305172,206352,763650,126282,637368,0,0,0,637368,342888,0,294480,0.71
"1213","大飲",336554,293817,42737,37726,5011,3366,5860,2517,-36,2553,0,0,0,2553,2553,0,0,0.05
"1215","卜蜂企業",8333822,7768926,564896,530395,34501,64743,27962,71282,24733,46549,0,0,0,46549,47604,0,-1055,0.21
"1216","統一",208408158,145771717,62636441,53016985,9619456,3411218,1825452,11205222,2127760,9077462,0,0,0,9077462,6232909,0,2844553,1.28
"1217","愛之味",2019319,1295098,724221,703518,20703,83003,71356,32350,16977,15373,0,0,0,15373,11901,0,3472,0.02
"1218","泰山企業",4855178,4150307,704871,802634,-97869,126642,44121,-15348,7398,-22746,0,0,0,-22746,-24194,0,1448,-0.07
"1219","福壽實業",4849265,4609951,239314,250756,-11442,37460,12268,13750,29289,-15539,0,0,0,-15539,-13838,0,-1701,-0.05
"1220","台榮",1823594,1665863,157731,95878,61853,18473,5303,75023,8958,66065,0,0,0,66065,59545,0,6520,0.34
"1225","福懋油",6861710,6606231,255479,231785,23351,15999,36313,3037,317,2720,0,0,0,2720,8376,0,-5656,0.04
"1227","佳格",9372520,5904290,3468230,2373389,1094841,179378,17021,1257198,248135,1009063,0,0,0,1009063,1005341,0,3722,1.76
"1229","聯華實業",2494611,2245804,248807,169121,79686,859875,37961,901600,62120,839480,0,0,0,839480,845464,0,-5984,1.00
"1231","聯華食品",2571541,1840983,730558,520399,210159,37696,20895,226960,53101,173859,0,0,0,173859,174993,0,-1134,1.43
"1232","大統益",8712067,8147175,564892,219528,345364,14371,6442,353293,61228,292065,0,0,0,292065,289694,0,2371,1.81
"1233","天仁",1026905,413436,613469,469651,143818,20219,1448,162589,29638,132951,0,0,0,132951,132084,0,867,1.46
"1234","黑松",3177371,2387810,789561,774921,14640,279978,69723,224895,63570,161325,0,0,0,161325,161325,0,0,0.30
"1235","興泰",166281,157650,8631,18616,-9985,5012,32223,-37196,905,-38101,0,0,0,-38101,-36805,0,-1296,-0.68
"1236","宏亞食品",942908,732782,210126,246126,-36000,9163,11197,-38034,6547,-44581,0,0,0,-44581,-44581,0,0,-0.41
"1301","台塑",99687016,90575527,9111489,5161397,3950092,2782334,981236,5751190,2091415,3659775,0,0,0,3659775,3659775,0,0,0.60
"1303","南亞塑膠",153453679,137614618,15839061,8463563,7425536,2048171,9101411,372296,2327785,-1955489,0,0,0,-1955489,-1910104,0,-45385,-0.24
"1304","台聚",27576967,24392312,3184655,1619194,1565461,1073218,251130,2387549,428597,1958952,-19737,0,0,1939215,1338733,0,600482,1.29
"1305","華夏",7142897,6106724,1036173,491949,544224,75958,43830,576352,30736,545616,-19736,0,0,525880,450420,0,75460,1.06
"1307","三芳化工",5127262,3908279,1218983,714909,504074,11314,57222,458166,127286,330880,699,0,0,331579,331579,0,0,0.94
"1308","亞聚",2484389,2077397,406992,92693,314299,211028,15039,510288,84129,426159,0,0,0,426159,426159,0,0,0.91
"1309","台達化工",8640012,8513305,126707,341131,-214424,111482,71858,-174800,-25439,-149361,0,0,0,-149361,-149361,0,0,-0.46
"1310","台苯",9030109,9241002,-210893,239322,-450215,101337,86603,-435481,4452,-439933,0,0,0,-439933,-388651,0,-51282,-0.67
"1312","國喬石化",11205836,10611047,594789,566979,27810,1786704,137361,1677153,275451,1401702,0,0,0,1401702,1328074,0,73628,1.47
"1313","聯成",24308541,22987423,1321118,785460,535658,324612,289206,571064,116300,454764,0,0,0,454764,458603,0,-3839,0.41
"1314","中石化",18970655,17305891,1664764,651275,1013317,1845082,195588,2662811,233064,2429747,0,0,0,2429747,2433060,0,-3313,1.23
"1315","達新工業",1711496,1362027,349469,298877,50592,24547,33818,41321,26992,14329,0,0,0,14329,18026,0,-3697,0.08
"1316","上曜",723651,574067,149584,206398,-56814,28794,12345,-40365,2282,-42647,0,0,0,-42647,-56635,0,13988,-0.86
"1319","東陽",8250817,6461457,1789360,1436266,355063,443933,166569,632427,169281,463146,0,0,0,463146,421142,0,42004,0.73
"1321","大洋",2653706,2557578,96128,178868,-82740,26884,9896,-65752,3063,-68815,0,0,0,-68815,-68815,0,0,-0.31
"1323","永裕",1525337,1156795,368542,192161,176381,9373,25926,159828,47369,112459,0,0,0,112459,92318,0,20141,1.12
"1324","地球工業",632932,527614,105318,94535,10783,2394,3518,9659,3970,5689,0,0,0,5689,5689,0,0,0.08
"1325","恒大",508565,435657,72908,32876,40032,3762,1146,42648,11546,31102,0,0,0,31102,32590,0,-1488,0.32
"1326","台化",203862920,198050509,5812411,6189151,-376740,1218180,2585454,-1744014,584146,-2328160,0,0,0,-2328160,-2785393,0,457233,-0.49
"1337","F-再生",2785737,1636396,1149341,185624,963717,41003,1847,1002873,257255,745618,0,0,0,745618,745618,0,0,4.70
"1338","F-廣華",2717521,2027173,690348,420513,269835,32053,14106,287782,72470,215312,0,0,0,215312,212681,0,2631,3.38
"1402","遠東新",124045451,97377834,26667617,16152101,10515793,2465964,1773835,11207922,1656305,9551617,0,0,0,9551617,6335373,0,3216244,1.29
"1410","南染",331319,229288,102031,40627,61404,3262,1363,63303,1880,61423,0,0,0,61423,57354,0,4069,0.64
"1413","宏洲纖維",2075565,2094720,-19155,54090,-73245,4975,9712,-77982,-3252,-74730,0,0,0,-74730,-73529,0,-1201,-0.44
"1416","廣豐",1629555,709823,919732,141665,778067,195674,5557,968184,21599,946585,0,0,0,946585,946439,0,146,2.65
"1417","嘉裕",1599736,1092974,506762,474278,32484,209814,16123,226175,71423,154752,0,0,0,154752,154752,0,0,0.41
"1418","東華",1268554,1277873,-9319,94296,-103615,31377,7239,-79477,-2373,-77104,0,0,0,-77104,-77093,0,-11,-0.64
"1419","新紡",445729,305843,139886,122016,17870,18194,15381,20683,598,20085,0,0,0,20085,20085,0,0,0.07
"1432","大魯閣",467108,442291,24817,70528,-45711,5217,12089,-52583,1448,-54031,0,0,0,-54031,-53435,0,-596,-0.61
"1434","福懋興業",26621918,23917670,2704248,1273198,1431050,144194,242289,1332955,172698,1160257,0,0,0,1160257,1088440,0,71817,0.65
"1435","中福國際",12573,1998,10575,18323,-7748,49805,28329,13728,0,13728,0,0,0,13728,13728,0,0,0.11
"1436","華友聯",1435,1149,286,26319,-26033,68325,171969,-129677,93152,-222829,0,0,0,-222829,-222829,0,0,-0.74
"1437","勤益投控",833751,766520,67231,60569,6662,27863,48531,-14006,-5712,-8294,0,0,0,-8294,-6065,0,-2229,-0.03
"1440","南紡",10843380,10189800,653580,666320,-12740,230565,34585,183240,1775,181465,0,0,0,181465,190082,0,-8617,0.12
"1441","大東紡織",804156,795845,8311,79789,-71478,83496,16407,-4389,-749,-3640,0,0,0,-3640,-3640,0,0,-0.04
"1442","名軒",982703,589585,393118,84290,308828,644,33417,276055,28167,247888,0,0,0,247888,245043,0,2845,1.20
"1443","立益紡織",1226593,1271416,-44823,90501,-135324,55261,93119,-173182,0,-173182,0,0,0,-173182,-172869,0,-313,-1.28
"1444","力麗",6265902,5892151,373751,282605,91131,63883,291784,-136770,15759,-152529,0,0,0,-152529,-107779,0,-44750,-0.12
"1445","大宇紡織",1044950,954864,90086,77189,12897,10719,2747,20869,1242,19627,0,0,0,19627,19627,0,0,0.14
"1446","宏和",398847,302146,96701,83575,13126,17558,5447,25237,16274,8963,0,0,0,8963,8963,0,0,0.06
"1447","力鵬",12526940,12544213,-17273,351292,-368565,46019,210675,-533221,-7995,-525226,0,0,0,-525226,-504066,0,-21160,-0.71
"1449","佳和實業",1946522,1860982,85540,184395,-98855,104615,58846,-53086,2018,-55104,0,0,0,-55104,-25098,0,-30006,-0.16
"1451","年興紡織",6462060,6356599,105461,399771,-294310,992989,60000,638679,60227,578452,0,0,0,578452,580090,0,-1638,1.21
"1453","大將",195397,180008,15389,21053,-5664,2100,3568,-7132,-1193,-5939,0,0,0,-5939,-5519,0,-420,-0.07
"1454","台富",1121442,1047656,73786,68352,5434,945,3893,2486,8446,-5960,0,0,0,-5960,-5960,0,0,-0.05
"1456","怡華",1022672,1022249,423,68163,-67740,41020,38322,-65042,2119,-67161,0,0,0,-67161,-67161,0,0,-0.40
"1457","宜進",2515718,2439943,75775,87895,-12120,182678,58318,112240,0,112240,0,0,0,112240,39936,0,72304,0.15
"1459","聯發紡織",1997348,1959288,38060,75757,-37697,36229,48937,-50405,3753,-54158,0,0,0,-54158,-54097,0,-61,-0.17
"1460","宏遠",3768096,3127931,640165,509898,130267,503573,52392,581448,-7,581455,0,0,0,581455,581455,0,0,1.33
"1463","強盛染整",297941,293319,4622,53008,-48386,15760,1925,-34551,-3848,-30703,0,0,0,-30703,-30316,0,-387,-0.19
"1464","得力實業",2213785,1906657,307128,304247,2881,37128,23595,16414,7125,9289,0,0,0,9289,8215,0,1074,0.04
"1465","偉全實業",1331502,1194911,136591,114125,22466,67204,25023,64647,8540,56107,0,0,0,56107,44554,0,11553,0.52
"1466","聚隆",2768673,2536821,231852,164826,67026,14226,13451,67801,21808,45993,0,0,0,45993,45993,0,0,0.48
"1467","南緯實業",3223481,2721528,501953,550841,-48888,339605,34097,256620,55476,201144,0,0,0,201144,104237,0,96907,0.62
"1468","昶和纖維",514836,544772,-29936,82617,-112553,13036,22351,-121868,0,-121868,0,0,0,-121868,-111697,0,-10171,0.70
"1469","理隆纖維",337668,281886,55782,26851,28931,9309,15594,22646,4708,17938,0,0,0,17938,17938,0,0,0.14
"1471","首利",3157390,3084941,72449,177982,-105533,15435,73671,-163769,4420,-168189,0,0,0,-168189,-168189,0,0,-0.83
"1472","三洋紡",397524,429495,-31971,45074,-77045,14973,17133,-79205,0,-79205,0,0,0,-79205,-78647,0,-558,-1.41
"1473","台南企業",4867805,3873627,994178,1110335,-116157,88316,39233,-67074,57819,-124893,0,0,0,-124893,7744,0,-132637,0.05
"1474","弘裕",1643683,1524950,118733,106661,12072,31072,29238,13906,6065,7841,0,0,0,7841,7841,0,0,0.06
"1475","本盟光電",181223,198011,-16788,30999,-47787,13726,21441,-55502,0,-55502,0,0,0,-55502,-38364,0,-17138,-0.73
"1476","儒鴻",5594450,4040592,1553858,636908,916950,24764,22496,919218,198885,720333,0,0,0,720333,720035,0,298,3.19
"1477","聚陽實業",7474579,5791130,1683449,897579,785870,45944,50630,781184,142366,638818,0,0,0,638818,638104,0,714,3.92
"1503","士電",10131727,8176347,1955380,1241245,714135,161272,49325,826082,198785,627297,0,0,0,627297,603732,0,23565,1.16
"1504","東元電機",23759390,17999525,5759865,3778136,1979099,299340,307789,1970650,650892,1319758,0,0,0,1319758,1253800,0,65958,0.69
"1506","正道",773205,657883,115322,106424,8898,16293,17538,7653,96,7557,0,0,0,7557,7653,0,-96,0.07
"1507","永大機電",8401012,6293565,2107447,1267057,840390,94117,45867,888640,245328,643312,0,0,0,643312,635396,0,7916,1.55
